ID,캐릭터이름,대사,
1,Maeve,@Who is this^ Fab. The great detective of Arkham! What are you doing in this dingy place?@,Maeve 최초 - 의뢰 ㅇ
2,Fabian,@ⓖ(Maeve)ⓦ... you're still the same as you've been in a long time.@,
3,Maeve,@My only strength. Sit down.@,
4,Maeve,@You do realize it's crackdown soon^ right?@,
5,Fabian,@ⓖ(Albert)ⓦ will handle it. Besides^ even if they get caught^ it would be more like doing community service.@,
6,Fabian,(ⓖ(Maeve)ⓦ smirked and brought me a drink.),
7,Maeve,@I envy you for that^ don't you?@,
8,Fabian,@Haha...@,
9,Maeve,@So what are you doing here? Business as usual@,
10,Fabian,@I caught one of the big ones. But it's complicated.@,
11,Maeve,@Come when you're not working. You're a bitch.@,
12,Fabian,@If i can afford it. So^ ⓖ(Maeve)ⓦ^ what about you^ how are things going?@,
13,Maeve,@It's business as usual for us^ all the bigwigs are off to the beach.@,
14,Fabian,@I don't know when our ⓖ(Maeve)ⓦ will be like that..~@,
15,Maeve,@You'll see.@,
16,Fabian,@Haha... By the way^ it's quiet here today.@,
17,Maeve,@Because of crack down. Today^ it's just those two customers over there.@,
18,Maeve,@I heard that they were a ⓖ(●2ⓦsewer worker)ⓦ and got unfairly dismissed? It's a sad situation in this kind of world these days.@,
19,Fabian,@They must have needed a drink.@,
20,Fabian,(ⓖ(Maeve)ⓦ and I joked about it for a while.)☆①,
21,Maeve,@Who is this^ Fab. The great detective of Arkham! What are you doing in this dingy place?@,Maeve 최초 - 의뢰 x
22,Fabian,@ⓖ(Maeve)ⓦ... you're still the same as you've been in a long time.@,
23,Maeve,@My only strength. Sit down.@,
24,Maeve,@You do realize it's crackdown soon^ right?@,
25,Fabian,@ⓖ(Albert)ⓦ will handle it. Besides^ even if they get caught^ it would be more like doing community service.@,
26,Fabian,(ⓖ(Maeve)ⓦ smirked and brought me a drink.),
27,Maeve,@I envy you for that^ don't you?@,
28,Fabian,@Haha...@,
29,Maeve,@So what are you doing here? Business as usual@,
30,Fabian,@No^ I don't have a request these days^ and the one I did have I skipped because it seemed too risky.@,
31,Fabian,@So^ ⓖ(Maeve)ⓦ^ what about you^ how are things going?@,
32,Maeve,@It's business as usual for us^ all the bigwigs are off to the beach.@,
33,Fabian,@I don't know when our ⓖ(Maeve)ⓦ will be like that..~@,
34,Maeve,@You'll see.@,
35,Fabian,@Haha... By the way^ it's quiet here today.@,
36,Maeve,@Because of crack down. Today^ it's just those two customers over there.@,
37,Maeve,@I heard that they were a ⓖ(●2ⓦsewer worker)ⓦ and got unfairly dismissed? It's a sad situation in this kind of world these days.@,
38,Fabian,@They must have needed a drink.@,
39,Fabian,(ⓖ(Maeve)ⓦ and I joked about it for a while.)☆①,
40,Fabian,(ⓖ(Maeve)ⓦ^ a mafia and bartender^ is cleaning the glasses.),살펴보기
41,Maeve,@Why^ do you have a question?@☆①,반복대화
42,Fabian,@Have you ever heard of a ⓡ(planetary march)ⓦ?@,Contents of a Newspaper
43,Maeve,@I saw that in the paper the other day. You don't really believe what you read there^ do you?@,
44,Fabian,@No way. I'd rather believe you when you say you're going to make it and find a job for me.@,
45,Fabian,(ⓖ(Maeve)ⓦ glares at me.),
46,Maeve,@I heard there's a stargazing show at ⓑ(Miskatonic University)ⓦ. Would you like to come? I haven't seen ⓖ(Albert)ⓦ's face in a while.@,
47,Maeve,@It's been a while since the three of us got together.@,
48,Fabian,@Hmmm... maybe.@,
49,Maeve,@ⓖ(●2ⓜPromise)ⓦ! I'll come out to the ⓑ(university)ⓦ on the evening of the 14th. Let ⓖ(Albert)ⓦ know later as well.@,
50,Maeve,@Isn't it because the government banned alcohol.@,불면증 - Newspaper Article
51,Maeve,@If we can't sleep^ we should just punch a drink and lie down.@,
52,Fabian,@Is that so...?@,
53,Maeve,@I don't know how he's doing. It's hard to see him in these times.@,알버트1 - Friend
54,Fabian,@At least he's the most trouble-free of the three of us.@,
55,Maeve,@That may be true^ but it feels somewhat precarious from my perspective.@,
56,Fabian,@Because it's him^ as long as there are no problems with women^ wouldn't that be enough?@,연속실종사건 (Albert's Information^ Reporting by Swain
57,Fabian,(I lowered my voice so only ⓖ(Maeve)ⓦ could hear me.),
58,Fabian,@Have you heard about the recent spate of ⓡ(people going missing)ⓦ?@,
59,Maeve,@Missing people? No^ I've never heard of it.@,
60,Fabian,@So at least it wasn't you guys.@,
61,Maeve,@Look^ these days we also earn our living honestly through business@,
62,Maeve,@...Some people need to be 'kick his ass' once in a while^ but not continuously^ and not for the general public.@,
63,Fabian,@ⓖ(Maeve)ⓦ^ you know what I saw today in the sewers by the river? A man with eyes the size of fists.@,하수도의 섬뜩한눈1 - Saw in the sewer
64,Maeve,@You're not... you're not sneaking drugs or something?@,
65,Fabian,(She doesn't seem to believe me.),
66,Maeve,@The characteristic ⓡ(fishy smell)ⓦ... Isn't that them over there?@,비릿한냄새  - Rumor
67,Fabian,@What^ the ⓖ(●3ⓦsewer worker)ⓦ from earlier?@,
68,Maeve,@I don't know^ but it smells horribly fishy. Go smell it.@,
69,Maeve,@They do smell awful in there. I can understand the suspicion.@@,비릿한냄새  - Source of the smell
70,Fabian,@Have you ever heard of ⓖ(Aiden Triss)ⓦ? He's a Journalist for the ⓑ(Daily News)ⓦ over there.@,에이든트리스
71,Maeve,@Journalist Tris? I know^ because my henchman put a bullet in her shoulder.@,
72,Fabian,@Uh?? Really?@,
73,Maeve,@Yeah^ it was a couple months ago^ but he's been taking pictures in our territory and doing interviews.@,
74,Maeve,@I gave him a kick in the pants to let him know I'd 'kick his ass' if he bothered me too much.@,
75,Fabian,'It's a small world.',
76,Drunk manA,@Wh.. who are you^ w..why? What's going on...@,A 최초 대화
77,Fabian,(The man sitting across from he looks at me with a rough look and says),
78,Drunk manB,@We're in a very bad mood right now because we just got fired...@,
79,Drunk manB,@Go away.@☆①,
80,Fabian,(It doesn't even react.)☆①,A 반복대화
81,Fabian,(Two men who appear to be ⓖ(sewer workers)ⓦ are sitting and drinking.),A 살펴보기 비릿냄새 x
82,Fabian,(They're already blushing^ as if they are had quite a bit to drink).,
83,Fabian,'What a smell..!',
84,Fabian,(Upon examination^ their bodies emit a ⓡ(fishy smell)ⓦ unlike anything i've ever smelled before.),
85,Fabian,(Two men who appear to be ⓖ(sewer workers)ⓦ are sitting and drinking.),A 살펴보기 비릿냄새 O
86,Fabian,(They're already blushing^ as if they are had quite a bit to drink).,
87,Fabian,'What a smell..!',
88,Fabian,(Upon examination^ their bodies emit a ⓡ(fishy smell)ⓦ unlike anything i've ever smelled before.),
89,Fabian,'It seems that the source of the city's ⓡ(●3ⓕfishy smells)ⓦ has something to do with these people.,
90,Maeve,@I'm not sure about that.@,nothing
91,Fabian,@Have you heard about the water and ocean-related ⓡ(nightmares)ⓦ spreading among people lately?@,2일차 키워드 추가Water and Nightmare
92,Maeve,@What^ have they found a drug that does that?@,
93,Fabian,@Well^ anyway^ the ⓑ(hospital)ⓦ is getting a lot of patients.@,
94,Maeve,@Water^ the ocean.... I have no idea. Maybe they're having a collective mental breakdown.@,
95,Fabian,@Maybe it's because they're not drinking^ like you said.@,
96,Fabian,(ⓖ(Maeve)ⓦ smirked at my comment.),
97,Fabian,@Have you heard the ⓡ(ghost story)ⓦ about alligators living in the ⓑ(sewers)ⓦ?@,Contents of a GhostStory
98,Maeve,@I know^ I know. A lot of people who come in ask.@,
99,Maeve,@I don't know who put it out ^ but I want to beat the crap out of them.@,
100,Fabian,@Judging by the reaction^ it's a total rumor^ right?@,
101,Maeve,@Not at all^ I can say this because I've been using the ⓑ(sewer)ⓦ smuggling route all along. .@,
102,Maeve,@It's blocked now because of the police investigation.@,
103,Fabian,@I see.@,
104,Maeve,@It's a problem^ I mean^ how much money did I spend on that smuggling route!@,Truth of a rumor
105,Maeve,@Because of that I had to dig up a new smuggling route on Innsmouth.@,
106,Fabian,@Innsmouth? That little coastal town?@,
107,Maeve,@Yeah... I spent a lot of money because they were so closed@,
108,Fabian,@I've heard rumors that they're vicious^ so be careful.@,
109,Fabian,@Have you heared that the water in ⓑ(river)ⓦ has been strangely clear lately?@,Details
110,Maeve,@No^ not at all?@,
111,Fabian,@I hear it's now drinkable.@,
