ID,캐릭터이름,대사,
1,파비안,(눈앞에 있는 집이 트리스 부부의 집이다.),// 도착즉시
2,파비안,@안녕하십니까^ 여사님. 남편분을 한번 만나 보는게 좋을 것 같아 찾아왔습니다.@,//문노크 - 진입후
3,엘라,@어서오세요… 그이라면 2층의 안방에 있어요.@,
4,파비안,@ 그렇군요. 어떻게… 상태는 그대로 이신가요?@,
5,엘라,@그새 상황이 더 안좋아진것 같아요..! 이제 말을 걸어도 제대로 대답조차 못하는 지경이에요.@,
6,파비안,‘젠장^ 하필이면 지금이냐.’,
7,파비안,‘더 심각해지기전에 이야기를 나눠봐야겠군’,
8,파비안,@그거 큰일이군요. 당장 올라가봐도 될까요?@,
9,엘라,@네^ 부탁드릴께요.@,
10,엘라,@어떻게 하면 좋죠…@,//1층 엘라 반복대화1
11,엘라,@저도 쓰러져 버릴거 같아요^ 너무 힘드네요…@,//1층 엘라 반복대화2
12,파비안,@ 힘내세요 부인. 분명 방법이 있을겁니다. …아마도요.@,
13,엘라,@남편은 이 방 안에 있어요.@,//2층 진입시
14,파비안,(저기 침대에 앉아 무식하게 생긴 금고를 안고 혼잣말을 중얼거리는 남자가 의뢰대상인 (에이든)으로 보인다.),//방안진입시
15,파비안,‘한 눈으로 봐도 상태가 말이 아니군. (병원)에서는 이걸 보고도 별일 아니라고 생각한건가.’,
16,파비안,(이곳에서 특이해 보이는건 없어. 침대위의 저 남자 빼고는.),//안방 - 관찰력 - 성공
17,파비안,(어디에서나 볼 수 있는 평범한 침실이군.),//안방 - 관찰력 - 실패
18,파비안,(건장한 체구와 그에 맞지 않는 행색이 상당히 눈에 띈다.),에이든 -살펴보기
19,파비안,(얼굴에는 다크서클이 깊게 내려 앉아 있고 눈은 초점없이 흐린 상태.),
20,파비안,(면도 또한 한동안 못한 것인지 거뭇거뭇하게 수염이 자랐다.),
21,파비안,(그러면서도 품에 끌어안고 있는 금고는 단단히 끌어안고 있다.),
22,파비안,‘행색이 말이 아니군’,
23,파비안,‘저 (금고)는 뭐길래 저렇게 안고 있는거야?’,
24,파비안,(더 말할 필요도 없이 그의 상태는 최악으로 보인다.),에이든 - 관찰력
25,파비안,(대화 소재를 선택함에 있어 조심해야 할것 같다.),
26,파비안,(또한 저 금고는 일반적인 방법으로는 건네 받을 수 없어 보인다.),
27,파비안,@안녕하십니까 (에이든 트리스)씨 맞으십니까?@,에이든 - 대화하기 - 최초
28,에이든,@으으….@,
29,파비안,‘이 양반 중증인데 이거.’,
30,파비안,@ 저기요 선생님? 괜찮으신가요?@,
31,에이든,@...허!? 넌 뭐야. 여긴 어떻게 들어온거야!?@,
32,파비안,@진정하세요. 아내분께서 도움을 청하셔서 찾아왔습니다.@,
33,파비안,(아내라는 말에 그의 표정이 잠깐 누그러졌다가는 다시 일그러졌다.),
34,에이든,@너같은건 아무짝에 소용없어! 어차피 난 죽을테니까… 신경끄고 꺼져!@,
35,파비안,(그렇게 말한 그는 고개를 반대쪽으로 돌려버렸다.),
36,파비안,@하지만 선생님^ …선생님?@,
37,파비안,(이제는 내 말에 대답할 생각이 없는지 반응조차 없다.),
38,파비안,‘이거 쉽지 않겠는걸’,
39,파비안,(그가 반응할만한 대화 소재를 이야기해보자.),
40,에이든,@난 어떻게 되는 거지…@,에이든 - 반복대화 1
41,파비안,(그냥 말을 걸어서는 반응하지 않을것 같다.),
42,에이든,@정말이지 끔찍한 꿈이야. 으으… 오늘일까? 아니면 내일…?@,에이든 - 반복대화 2
43,파비안,(그는 더이상 내 말이 들리지 않는것 같다.),
44,파비안,@최근 이상한 (악몽)을 꾸고 계시..@,키워드 - 악몽1 - 
45,파비안,(내 말이 끝나기도 전에 그는 그 퀭한 동공을 내쪽으로 향하며 소리쳤다.),
46,에이든,@맞아!! 끔찍한 (악몽)이야.@,
47,에이든,@ 목구멍 속으로 바닷물이 계속해서 쏟아져 들어와 숨이 막혀도 깨지 못하는 절망스러운 꿈.@,
48,에이든,@ 죽어도 죽어도 깨어나지 못했어. 그래… 아마 난 죽을꺼야. 아니^ 확실해…@,
49,에이든,@아니.. 아니야 나 뿐만이 아니라 우리 모두 죽을 꺼야. 그래.. 흐흐…@,
50,파비안,@그 (악몽). 그것에 대해서 더 자세히 말씀해 주실 수는 없습니까?@,
51,에이든,@뭐야..!? 당신은 누구야!@,
52,파비안,@네? 저는.. 하… 젠장.@,
53,파비안,(그는 정신이 오락가락해 보인다.),
54,파비안,‘아무튼 끔찍한 꿈이라 이거군.’,
55,파비안,@부인 (엘라 트리스)님께서 의뢰하셨습니다 선생님. 말씀좀 나눌 수 있을까요.@,키워드 - 엘라트리스1 - 
56,파비안,(자신의 아내 이름이 나오자 그가 격렬하게 반응했다.),
57,에이든,@맞아^ 엘라! 엘라만은 살아남아야해.@,
58,에이든,@그래 거기너. 나같은건 상대 하지말고 엘라를 데리고 당장 이 도시에서 떠나!@,
59,에이든,@그게 너한테도 좋을거야^ 어서!@,
60,파비안,(그렇게 말하고는 그는 고개를 숙이고는 다시 중얼거리기 시작했다.),
61,파비안,‘어떻게해야 다른 대답을 끌어낼 수 있으려나..’,
62,파비안,@선생님이 안고계신 그 (금고)는 뭡니까?@,키워드 - 금고- 
63,파비안,(금고라는 말에 반응 했는지 그는 품속의 그것을 더 세게 끌어안았다.),
64,에이든,@안돼.. 이 (금고) 만큼은 무슨일이 있어도 지켜야해.@,
65,파비안,@안에 뭐가 들었길래… 어휴 말을 말아야지.@,
66,파비안,‘어차피 이렇게 된거 해결하려면 평화적인 방법만으로는 해결 불가능이야.’,금고 선택지 1 - 힘
67,파비안,@(에이든)씨 미안하지만 그건 받아가야될 것 같습니다..!@,
68,파비안,(약간의 몸싸움 끝에 그에게서 금고를 빼앗을 수 있었다.),힘판정 성공
69,파비안,‘후… 이제 뭐라고 변명을.’,
70,파비안,(그렇게 생각하며 (에이든)쪽을 다시 보았지만 그는 언제 금고를 뺏기면 안됬냐는 듯 다시 고개를 숙이고 중얼거리고 있다.),
71,파비안,@저… (에이든)씨? (금고)... 어라?@,
72,파비안,@결과적으로는 해결 됐..나?@,
73,파비안,’암호는… 뭐 물어봐도 대답은 못 듣겠지..’,
74,파비안,’내가 직접 해제해 보거나.. (빈민가)의 (거렁뱅이 데이브)에게 가져다 주면 해결해 줄꺼야.’,
75,파비안,‘뭐야 이양반 한동안 잠도 제대로 못잤다더니 왜이리 힘이 쎄?’,힘판정 실패
76,파비안,(그러던 중 손이 미끌려 뒤로 세게 넘어졌다.),
77,파비안,@으… 허리야…@,체력 -1
78,파비안,‘힘으로는 어떻게 안되겠는걸…’,
79,파비안,(그의 아내 (엘라 트리스)를 언급해가며 최대한 조심스럽게 설득했다.),금고 선택지 2 - 언변술 성공
80,에이든,@....@,
81,파비안,(그러자 그가 말없이 금고를 바닥에 내려 놓았다.),
82,파비안,@협조 감사합니다. 덕분에 일이 수월하게 풀리겠군요.@,
83,파비안,(이후 암호에 대해서도 물어봤지만 대답을 들을수는 없었다.),
84,파비안,@ 내가 직접 해제해 보거나.. (빈민가)의 (거렁뱅이 데이브)에게 가져다 주면 해결해 주겠지.@,
85,에이든,@안돼! 너같은 놈에게는 못넘겨줘!@,금고 선택지 2 - 언변술 실패
86,파비안,(내 말이 믿음직스럽지 못했는지 그는 더욱 강하게 금고를 잡는다.),
87,파비안,‘뭐하나 쉽게 풀리는 일이 없다니까..’,
88,파비안,‘괜히 건드렸다가 긁어 부스럼 만드는 것보다는 가만히 두는게 낫겠지.’,<선택지 3. 그냥 가만히 둔다.>
89,파비안,‘해봐야 돈이나 귀중품 아니겠어.’,
90,파비안,(이 주제에 대해서는 반응하지 않았다.),//첫번째 키워드 실패
91,에이든,@뭐야^ 누구야 넌!@,//두번째 키워드 실패
92,파비안,@저는 아내분께서 고용한…@,
93,에이든,@당신같은건 필요 없으니까 꺼져!@,
94,파비안,(그렇게 말하며 내뻗은 팔에 얼굴이 맞았다.),
95,에이든,@윽…@,체력 -1
96,파비안,(계속해서 나가라고 고함을 지르는 통에 결국 방에서 나올 수 밖에 없었다.),
97,파비안,(그에 대해서 간단하게 조사해보니 (불면증)과 스트레스에 의한 (편집증)에 시달리고 있다는 사실을 알 수 있었다.),<에이든 - 의학지식판정> - 성공
98,파비안,(아무래도 그의 증상의 원인은 현재 꾸고 있다는 (악몽)에 기인한 것으로 보인다.),
99,파비안,(내가 알고 있는한 (악몽)만으로 발생하는 (불면증)에 대해서는 들어본 바가 없다.),
100,파비안,(특별하게 알 수 있는 사실은 없었다.),<에이든 - 의학지식판정> - 실패
101,파비안,(약간이지만 그의 눈에 생기가 돌아왔다. 그의 공포가 약간 누그러진것 같다.),<에이든 - 정신분석 판정 – 매우 어려운> - 성공
102,에이든,@으으… 뭡니까 당신은. 어째서 우리집에…@,
103,파비안,@이제 좀 진정하셨습니까. 저는 아내분께서 고용한 사립탐정입니다. 문제 해결에 도움이 될 수 있을까 하고 찾아왔습니다.@,
104,에이든,@(엘라)가요..? 이런… 하지만 소용 없습니다. 이해하지도 못할거구요. 저는 이미 끝났단 말입니다.@,
105,파비안,@끝났다니요? 그래도 이야기는 들어 볼수 있는것 아니겠습니까.@,
106,에이든,@그럼 제가 이제 세상이 파멸할 거라고 해도 믿으시겠다는 건가요?@,
107,파비안,‘뭐? 세상의 파멸? 이 기자라고 하지 않았나^ 왜 소설을 쓰고있지,
108,파비안,@파멸이요..? 그야 뭐 요즘 사람들이 술 좀 못마시게 했다고 세상이 끝나네 어쩌네 하지만 그럴리가 있겠습니까.@,
109,에이든,@하하.. 그거 보세요 어차피 말해도 안믿는다니까요. 그게 정신건강에 이롭긴 하겠지만…@,
110,파비안,(그렇게 말하며 그는 품에 안고 있던 금고를 내게 건냈다.),//사전에 금고를 가져가지 않았다면
111,파비안,@ 이건?@,
112,에이든,@제가 조사하던 정보가 여기 들어 있습니다. 이걸 보면 이해하실 수 있을지도요.@,
113,파비안,(그는 순간 내 발밑에 있는 금고를 보고는 말했다.),(사전에 금고를 가져갔다면)
114,에이든,@아 금고^ 맞아요 거기에 제가 조사하던 정보가 들어있습니다. 그걸 보면 이해하실 수 있을지도요.@,
115,파비안,@그렇군요. 아주 좋습니다. 그래서… 암호는요?@,
116,에이든,@어.....잊어버렸습니다.@,
117,파비안,‘이사람이 지금 나랑 장난하자는건가?’,
118,파비안,‘꼭 탐정이라그러면 그놈의 홈즈인가 뭔가랑 똑같이 생각하는 사람들이 있다니까.’,
119,파비안,@잊어버리셨다구요? 하지만 (에이든)씨의 금고 아닙니까?@,
120,에이든,@맞아요. 맞는데 기억이 나지 않습니다…@,
121,파비안,@…알겠습니다. 뭐 제쪽에서 해결 해 보겠습니다.@,
122,파비안,(그 순간 그의 동공이 무엇인가를 본것처럼 크게 흔들렸고^ 다시 아까 전처럼 혼잣말을 중얼거리기 시작했다.),
123,파비안,‘그래도 수확은 있었군. 이걸 조사해 보면 뭔가 나오는건 확실하겠어.’,
124,엘라,@어떻던가요..?@,//밖으로 나온다면 - 금고 O
125,파비안,@절대 상태가 좋다고는 못하겠지만 그래도 수확이 없는건 아니었습니다.@,
126,파비안,(그리고는 (금고)를 보여주었다.),
127,엘라,@그건 남편의 금고인가요?@,
128,파비안,@ 네 맞습니다. 혹시 암호를 알고 계시거나 하진 않으신가요?@,
129,엘라,@아니요.. 그건 남편의 개인 물품이 들어있던거라 저도 잘 모르겠어요^@,
130,파비안,@그럼 제 쪽에서 한번 해제해 보도록 하겠습니다. 진전이 있거나 더 말씀드릴게 있으면 다시 찾아오겠습니다.@,
131,엘라,@네 감사해요…@,
132,엘라,@어떻던가요..?@,//금고가 없다면
133,파비안,@상태가 좋다고는 못하겠지만 분명 방법이 없진 않을겁니다.@,
134,파비안,(내 말에 그녀는 조금 실망한 것 처럼 보인다.),
135,파비안,@진전이 있거나 더 말씀드릴게 있으면 다시 찾아오겠습니다.@,
136,엘라,@네 감사해요…@,
137,파비안,(어디에서나 볼 수 있을법한 평범한 집이다. 정황상 이 집에 아직 자녀는 없는 듯하다.),엘라집 1층 관찰력
138,파비안,@ 그 사이에 남편분에 관해서 새로 기억나신 건 없나요?@,엘라키워드 - 에이든 트리스 
139,엘라,@ 글쎄요…@,
140,파비안,@ 뭐 가장 최근에 조사하고 계신 기사라거나 그런거라두요.@,(하수도의 이상한 괴담 미 획득이라면)
141,엘라,@ 그거라면 아마 (하수도의 이상한 괴담) 이었을거에요.@,
142,파비안,@하수도의 괴담이요? 무슨 내용이었죠?@,
143,엘라,@ 저도 전해들은 거여서 잘은 모르지만 누가 악어를 애완동물로 들여와 놓고는 하수도에 버렸다나요.@,
144,엘라,@ 근데 그 악어가 시궁쥐 같은 것들을 먹고 엄청 커져서는 사람들까지 먹고 끌고 가버린다는 이야기였어요.@,
145,파비안,@흥미로운 이야기네요. 감사합니다.@,
146,파비안,‘하수도에서 악어라… (덴버)에게 물어보면 뭔가 알고있을지도. 경찰이니까 그런 문의도 들어올테지.’,
147,엘라,@글쎄요.. 그건 잘 모르겠어요.@,(엘라에게 잘 모르는 키워드 사용)
148,,,
149,,,
150,,,
151,,,
152,,,
153,,,
154,,,
155,,,
156,,,
157,,,
158,,,
159,,,
160,,,
161,,,
162,,,
163,,,
164,,,
165,,,
166,,,
167,,,
168,,,
169,,,
170,,,
171,,,
172,,,
173,,,
174,,,
175,,,
176,,,
177,,,
178,,,
179,,,
180,,,
181,,,
182,파비안,@흐음...@,
183,파비안,(벌써 며칠 째 의뢰가 전혀 들어오고 있지 않다.),
184,파비안,(월세가 조금씩 밀리기 시작한지 2달째...),
185,파비안,(그래도 2주 전 까지는 사소한 건수라도 있었지만 슬슬 위태롭다.),
186,파비안,'분명 제이크씨가 이번 달 까지만 유예를 준다고 했는데... 이제는 어떤 변명으로도 못 넘어갈지도.',
187,파비안,@허... 그나저나 이상하단 말이야. 아컴 시가 이렇게 조용하다니.@,
188,파비안,@ⓖ(●1알버트)ⓦ나 ⓖ(●1메이브)ⓦ도 최근 별일 없다고 했고.@,
189,파비안,@경찰^ 갱 둘 다 큰 소신이 없다는걸 보면 정말로 평화로운 한 때 라는건데.@,
190,파비안,@... 이렇게 아이러니한 상황도 없군 그래.@,
191,파비안,@이래서야 원^ 여기로 사무소를 옮긴겄도 다 허사였을지도.@,
192,파비안,@적어도 보스턴에 있을 때는 애완동물 찾기 정도는 끊이지 않았는데 말이야..@,
193,파비안,@후우...@,
194,파비안,'이렇게 한순이나 쉬면서 시간이나 죽이고 있을 바에야 차라리 ⓑ(●1부두)ⓦ 쪽으로 나가서 짐이라도 나르는게 나을거야.',
195,파비안,'더럽게 찝찝하고 돈은 쥐꼬리만큼 주겠지만.',
196,파비안,'그걸로 다 채우지는 못하더라도 제이크씨의 화를 달랠 정도는 될지 모르지',
197,파비안,@설령 쫓겨난다해도 이러고 있는 것 보다는 나을거고.@,
198,파비안,@그럼 나가기 전에 준비라도 잠깐 할까.@◎①,
199,,(오늘 아침 읽지 않고 던져둔 조간 신문이다.)☆①,/ 신문 상호작용
200,파비안,@어디보자 오늘의 헤드라인이 뭐였지...@,/ 신문 상호작용
201,신문,[1000년만의 별과 행성들의 열병식이 거행된다!],
202,신문,[태양을 중심으로 7개의 별과 행성이 일렬로 늘어서는 ⓡ(●1행성 대직렬)ⓦ이 4일 뒤인 7월 15일에 시작된다.],
203,,[이렇게 많은 행성이 일렬로 늘어서는 것은 관측 이래 최초이며...],
204,파비안,(그 아래쪽으로는 인터뷰가 몇 개 실려있다.),
205,파비안,(개중에는 이를 지구 멸망의 징조로 보고 있는 사람도 있는 듯 하다.),
206,파비안,(큼지막한 글씨로 단순한 천문현상이 아닌^ 인류사에 영향을 끼칠 수 있는 중대사항일수 있다는 과학자의 의견이 실려있다.),
207,파비안,@어디... 행성들의 간섭으로 중력이 겹쳐져 사람이나 건물이 모두 찌부러져 버릴지도 모른다… 라고?@,
208,파비안,@퍽이나 그러겠어… 만약 그렇다면 그 으리으리한 제이크씨네 집만 쩍하고 으스러뜨려주면 좋겠는데 말이야.@,
209,파비안,@하긴^ 뭐. 이런 쇼라도 해야 특별할 것도 없는 하늘이나 들여다 보는 작자들에게 후원금이 갈테니까.@,
210,파비안,@똑똑한 양반이나 나나 결국 다를바가 없는 인생이군.@,/ 신문 판정성공
211,파비안,@그러고 보니 오늘 신문을 자세히는 안 읽었지.@,
212,파비안,@어디보자.@,
213,신문,[몽골이 중국으로부터 독립하다.],
214,신문,[영국에 대한 아일랜드의 독립전쟁이 드디어 휴전에 돌입하다.],
215,파비안,(그런 내용들이 해드라인이어야 하는 것 아닌가 생각하며 내려간 시선에^ 특이한 소식이 눈에 들어왔다.),
216,신문,(아컴시에서 원인불명의 대규모 ⓡ(●1불면증)ⓦ 유행중.),
217,신문,(최근들어 아컴시 북부^ 남부를 가리지 않고 ⓡ(불면증)ⓦ 을 호소하는 사람이 늘어났다.),
218,신문,(이와 함께 발생하는 증상들로 불안증^ 만성피로가 있으며 이 때문에 현재 ⓑ(●1병원)ⓦ은 거의 마비 상태로..),
219,파비안,@요즘은 ⓡ(불면증)ⓦ도 전염되나보지? 다들 밤자리를 설쳐서 이렇게 도시가 조용했던 건가.@,
220,파비안,@아무튼 이른 시간이나 낮 시간대 까지는 급한 용무가 아니라면 ⓑ(병원)ⓦ은 들리지 않는게 좋겠어.@,
221,파비안,(특별하게 눈이 가는 소식은 없다.),/ 신문 판정실패
222,파비안,@그럼 커피나 한잔 타 마셔볼까.@☆①,/ 스토브 상호작용
223,파비안,(싸구려 인스턴트 커피와 손님용으로 준비해둔 차가 덩그러니 놓여져 있다.),/ 스토브 살펴보기
224,파비안,@오늘은 꽤나 그럴듯한데 왠일이지?@,/스토브 행운판정
225,파비안,@일할 맛이 나겠는걸.@,
226,파비안,(뭔가 오늘은 하루가 잘 풀릴것만 같은 기분이 든다.),/컨디션상승
227,파비안,@윽..@,/스토프 판정실패
228,파비안,(지옥 밑바닥이라도 긁어 온듯한 맛이다.),
229,파비안,(다음에는 그냥 손님용으로 준비한 차를 마시는게 낫겠다.),
230,파비안,(깔끔하게 정리되어있는 책상이다. 조금 먼지가 쌓여있다.)☆①,/책상 상호작용
231,파비안,(내 사무용 책상이다.),/책상 살펴보기
232,파비안,'아니^ 적어도 일주일은 그렇지 않았으니 그냥 책상일지도.',
233,파비안,'드디어 의뢰인이 찾아 온건가?',// 노크소리
234,파비안,‘설마 제이크 씨는 아니겠지.’,
235,???,@안녕하세요… 의뢰할 일이 있어서 찾아왔는데요.@,// 문 근접시
236,파비안,@아 들어오시죠.@◎②,
237,파비안,@그래서… 간단하게 자기소개부터 해주시고 어떤 용무로 찾아오셨는지 말해주시겠어요^ 여사님?@,
238,파비안,(내가 수첩을 꺼내 받아 적을 준비를 하며 묻자^ 그녀는 울먹이는 말투로 말을 시작했다.),
239,엘라,@안녕하세요.. 저는 저기 아래 해즈먼드사에서 비서로 일하고 있는 ⓖ(●1엘라 트리스)ⓦ 라고 해요.@,
240,엘라,@여기에 온건 다름이 아니라 남편 때문이에요^ 남편인 ⓖ(●1에이든 트리스)ⓦ 는 신문사에서 일하는 기자인데…@,
241,엘라,@최근 들어서 그이의 상태가 이상해졌어요.@,
242,파비안 ,@이상해졌다? 어떻게 말이죠?@,
243,엘라,@언젠가부터 무기력해보이기 시작하더니 밤마다 비명을 지르며 새벽에 깨어나기 시작했어요@,
244,엘라,@그때마다 괜찮냐고^ 무슨 문제라도 있냐구 물어도 흠칫 놀랬다가 한숨을 푹 몰아쉬고는 아무것도 아니라고 말하고는 다시 잠을 청하더라구요.@,
245,엘라,@낮에도 멍하게 앉아 ⓡ(●1악몽)ⓦ에 대해서 중얼거리고…@,
246,파비안,@ⓡ(악몽)ⓦ이라.. 그 전에는 이런 일이 없었나요?@,
247,엘라,@물론이에요. 그이는 그런 심신미약과는 거리가 먼 활달한 성격이었어요.@,
248,엘라,@불같은 성격을 주체를 못하고 취재를 하다 총을 맞은 적도 있을 정도로요.@,
249,엘라,@그때에도 웃으면서 별일 아니라고 했던 사람인데…@,
250,파비안,@...보통 성격은 아니셨나 보군요.@,
251,엘라,@맞아요. 그랬던 사람이 최근에는 ⓡ(●1편집증)ⓦ 증세까지 도져서 이제 출근도 못할 지경이에요.@,
252,엘라,@ 자기는 곧 죽을거라며 저라도 어서 도망치라고 그러더라니까요…@,
253,파비안,(그녀가 소리죽여 울기 시작했다.),
254,파비안,@그렇군요…@,
255,파비안,(예상했던 것과 달리 외도에 관련된 문제는 아니었다.),
256,파비안,(악몽에 편집증이라니. 분명 부인이 모르는 사건에 연루된 것은 틀림없다. 그렇지 않고서야 사람이 이렇게 갑자기 바뀔리가.),
257,파비안,(지금 들은 이야기만으로는 어떻다라고 판단하기 힘들 것 같다.)★①,
258,파비안,@혹시 남편분이 취재할때 …마피아들과도 연관된 적이 있나요?@,//첫번째 선택지
259,파비안,@아^ 다른 뜻이 아니라 방금 전에 취재중에 총을 맞은 적도 있다고 말씀하셔서요.@,
260,엘라,@어… 잘은 모르지만 그때 총을 맞았을 때 마피아와 연관된 일이라고 듣긴 했어요. 아일랜드가 어떻고 시칠리아가 어떻고 그런 이야기를 했던것 같아요.@,
261,파비안,'이런^ 듣던중 불길한 소리군’,
262,파비안,‘하지만 그게 현재 남편의 상황과 연관되었다고 단정 지을 수 있을까?’,
263,파비안,’그녀의 말을 들어보면 지금까지는 딱히 개의치 않았던 것 같은데’,
264,파비안,‘생각해보면 정말 마피아 들에게 위협을 느끼게 되서 초조했다면 진작에 도망쳤겠지 집에 박혀있는게 아니라.’,
265,파비안,‘그 이상으로 무서운 존재가 있다는건가?’,
266,파비안,(결국 지금 가진 정보만으로는 어떻다 말하기가 힘들어 보인다.),
267,파비안,(무슨 상황인지 알려면 직접적인 조사가 더 필요하다.),
268,파비안,‘마피아^ 그 이상의 문제를 해결하라… 인가.’,
269,파비안,‘이거 집세 문제를 해결하기 전에 내 목숨이 거덜날지도 모르겠군.’★①,
270,파비안,‘최대한 부드러운 어투로 대답하자’,// 두번째 선택지
271,파비안,@ 어… 죄송합니다만 부인. 제 생각에는 그런 일이라면 ⓑ(병원)ⓦ에 가보시는게 좋지 않을까 싶습니다만.@,
272,파비안,@저희는 그런 정신적인 부분? 은 다루기 어려워서말이죠..@,
273,파비안,(그러자 그녀는 예상했던 대답이라는 듯 한숨을 쉬며 대답했다.),
274,엘라,@당연히 가봤죠. 당연히…@,
275,엘라,@하지만 ⓑ(병원)ⓦ 에서는 아무런 이상 증세도 발견하지 못했다고 했어요.@,
276,엘라,@검진상으로는 아무 문제가 없다고 하면서 너무 취재열에 몸이 혹사당하다 보니 지쳐서 그런것 아니냐고.@,
277,엘라,@집에서 진정제라도 먹으며 좀 쉬면 나아질거라고 했어요. 실제론 전혀 그렇지 않았지만…@,
278,엘라,@오히려 증상은 심해지기만 했다구요!@,
279,파비안,@죄송합니다 여사님 실언이었네요. 진정하세요.@,
280,파비안,(내가 사과하자 그녀 또한 정신을 차렸다는 듯이 진정하고는 말을 이어나간다.),
281,엘라,@아.. 아니에요. 저야말로 흥분했네요. 그런 이야기를 너무 많이들어서 그만 욱 했나봐요.@,
282,파비안,@충분히 그러실수 있다고 생각합니다. 괜찮습니다.@,
283,파비안,‘이거^ 보통상황이 아닌건 확실하겠어.’,
284,엘라,@혹시 모르는 마음에 지푸라기라도 잡는 심정으로 찾아와본 거에요.@,
285,엘라,@제가 모르는 다른 수상한 일이 뒤에 있는 것 아닐까 해서…@,
286,파비안,‘수상한 배후라…’,
287,파비안,@음^ 남편분께서 이곳에서 신문기자로 일하신 게 어느정도 되었을까요?@,
288,엘라,@ 아^ 네. 음… 올해로 11년^ 아니 12년 되었을거에요. 20살때 시작했다고 했으니까요.@,
289,파비안,@그렇군요…@,
290,파비안,‘12년이나 흉흉하기로 소문난 아컴시에서 신문기자로 살아온 사람…’,
291,파비안,‘그런 베테랑을 저렇게 몰아넣을 만한 사건이란 것이 뭐가 있는 걸까.’★①,
292,파비안,‘자신은 곧 죽을 것이니 도망치라고?’,세번째 선택지
293,파비안,‘이미 자신의 목숨이 결정났다는 걸 안다는건가? 어떻게?’,
294,파비안,(이 부분은 자세히 물어볼 필요가 있는것 같다.),
295,파비안,@잠시만요^ 남편분께서 도망치라고 하셨다구요?@,
296,엘라,@아^ 맞아요. 그런말을 최근 들어서 자주 하고 있어요.@,
