ID,캐릭터이름,대사,
1,파비안,@흐음...@,
2,파비안,(벌써 며칠 째 의뢰가 전혀 들어오고 있지 않다.),
3,파비안,(월세가 조금씩 밀리기 시작한지 2달째...),
4,파비안,(그래도 2주 전 까지는 사소한 건수라도 있었지만 슬슬 위태롭다.),
5,파비안,'분명 제이크씨가 이번 달 까지만 유예를 준다고 했는데... 이제는 어떤 변명으로도 못 넘어갈지도.',
6,파비안,@허... 그나저나 이상하단 말이야. 아컴 시가 이렇게 조용하다니.@,
7,파비안,@ⓖ(●1알버트)ⓦ나 ⓖ(●1메이브)ⓦ도 최근 별일 없다고 했고.@,
8,파비안,@경찰^ 갱 둘 다 큰 소신이 없다는걸 보면 정말로 평화로운 한 때 라는건데.@,
9,파비안,@... 이렇게 아이러니한 상황도 없군 그래.@,
10,파비안,@이래서야 원^ 여기로 사무소를 옮긴겄도 다 허사였을지도.@,
11,파비안,@적어도 보스턴에 있을 때는 애완동물 찾기 정도는 끊이지 않았는데 말이야..@,
12,파비안,@후우...@,
13,파비안,'이렇게 한순이나 쉬면서 시간이나 죽이고 있을 바에야 차라리 ⓑ(●1부두)ⓦ 쪽으로 나가서 짐이라도 나르는게 나을거야.',
14,파비안,'더럽게 찝찝하고 돈은 쥐꼬리만큼 주겠지만.',
15,파비안,'그걸로 다 채우지는 못하더라도 제이크씨의 화를 달랠 정도는 될지 모르지',
16,파비안,@설령 쫓겨난다해도 이러고 있는 것 보다는 나을거고.@,
17,파비안,@그럼 나가기 전에 준비라도 잠깐 할까.@◎①,
18,,(오늘 아침 읽지 않고 던져둔 조간 신문이다.)☆①,/ 신문 상호작용
19,파비안,@어디보자 오늘의 헤드라인이 뭐였지...@,/ 신문 상호작용
20,신문,[1000년만의 별과 행성들의 열병식이 거행된다!],
21,신문,[태양을 중심으로 7개의 별과 행성이 일렬로 늘어서는 ⓡ(●1행성 대직렬)ⓦ이 4일 뒤인 7월 15일에 시작된다.],
22,,[이렇게 많은 행성이 일렬로 늘어서는 것은 관측 이래 최초이며...],
23,파비안,(그 아래쪽으로는 인터뷰가 몇 개 실려있다.),
24,파비안,(개중에는 이를 지구 멸망의 징조로 보고 있는 사람도 있는 듯 하다.),
25,파비안,(큼지막한 글씨로 단순한 천문현상이 아닌^ 인류사에 영향을 끼칠 수 있는 중대사항일수 있다는 과학자의 의견이 실려있다.),
