ID,캐릭터이름,대사,
1,파비안,(병원이 환자로 가득 차있다.),// 도착 대사
2,파비안,(대부분의 환자들이 퀭한 눈으로 자신의 차례를 기다리고 있다.),
3,파비안,(바빠보이는 그녀의 이름표에 ‘케이트 리지’ 라고 적혀있다.),케이트 최초대사
4,파비안,@안녕하세요^ 바쁘신데 죄송하지만 말씀좀 여쭤도 될까요?@,
5,케이트,@네! 잠깐이면 괜찮아요. 선생님들한테 농땡이 피우는거 들키면 혼나거든요.@,
6,파비안,@요즘 사람이 많이 오나보죠?@,
7,케이트,@맞아요 최근 들어서 ⓡ(불면증)ⓦ이 유행중이라서요. 낮 시간대에는 보시다 싶이 아주 바빠요.@,
8,파비안,@그렇군요^ ⓡ(불면증)ⓦ의 유행이라니 처음들어보는 일인데 이전에도 이런적이 있나요?@,
9,케이트,@아뇨^ 환자분들께서 이렇게 많아진건 한달 전즈음? 그정도 부터 인거 같아요.@,
10,케이트,@저도 자세히는 모르지만요^ 정확한건 선생님들께 여쭤보는게 좋을거에요.@,
11,케이트,@낮 시간대 까지는 바쁘시니까 아침이나 오후에 오시는게 좋구요.@,
12,파비안,(그때 안쪽에서 케이트를 부르는 소리가 들려왔다.),
13,케이트,@네~ 바로 가겠습니다~@,
14,케이트,@그럼 나중에 뵈요!@◎⑦,케이트 사라짐
15,파비안,(무척 바빠보이는 의사선생이 차트를 뒤적여 보고 있다.),앨런 최초대사
16,파비안,(그는 내가 입을 때기도 전에^ 나를 보지도 않고 말했다.),
17,앨런,@미안합니다만 지금은 바빠서요.@,
18,앨런,@나중에 다시 와주세요.@,
19,파비안,(그리고 나서는 여전히 차트를 뒤지고 있다.),
20,파비안,(바빠서 그런지 얼굴을 찡그릴 뿐 반응이 없다.),반복대사
21,파비안,@안녕하세요^ 바쁘신데 죄송하지만 말씀좀 여쭤도 될까요?@,//케이트 오후 대사 최초
22,케이트,@네! 지금 시간에는 괜찮아요. 제 담당일은 거의 끝났거든요.@,
23,파비안,(그녀가 들고 있는 차트에 빼곡히 이름이 적혀있다.),
24,파비안,@요즘 사람이 많이 오나보죠?@,
25,케이트,@맞아요 최근 들어서 ⓡ(불면증)ⓦ이 유행중이라서요. 낮 시간대에는 보시다 싶이 아주 바빠요.@,
26,파비안,@그렇군요^ ⓡ(불면증)ⓦ의 유행이라니 처음들어보는 일인데 이전에도 이런적이 있나요?@,
27,케이트,@아뇨^ 환자분들께서 이렇게 많아진건 한달 전즈음? 그정도 부터 인거 같아요.@,
28,케이트,@저도 자세히는 모르지만요^ 정확한건 선생님들께 여쭤보는게 좋을거에요.@☆①,
29,케이트,@더 궁금하신게 있으신가요~?@☆①,케이트 반복대사
30,파비안,(이름표에 ‘케이트 리지’ 라고 적혀있다.),케이트 살펴보기
31,케이트,@요즘은 그것때문에 골치가 아프다니까요~@,케이트 선택지 - 불면증 기사
32,파비안,@ⓡ(불면증)ⓦ이라…. 아직 원인은 밝혀지지 않았나요?@,
33,케이트,@글쎄요^ 아무래도 선생님께 여쭤보는게 좋을것 같은데요? 호호.@,
34,파비안,@ⓡ(악몽)ⓦ에 관련해서는 뭔가 들으신 바가 없나요?@,에이든의 악몽
35,케이트,@그거라면 자주 들었어요! 최근 오신 ⓡ(불면증)ⓦ 환자분들중 대다수가 ⓡ(악몽)ⓦ에 대해서 언급하셨더라구요.@,
36,파비안,@그거 이상하군요. 전염되는 ⓡ(악몽)ⓦ을 가진 ⓡ(불면증)ⓦ이라.@,
37,케이트,@정말요. 저도 이곳에서 근무하면서 처음 들어보는 일이에요.@,
38,파비안,@ⓡ(편집증)ⓦ에 대해서는 뭐 특이점이 없을까요?@,편집증 - 남편의 상황
39,케이트,@으음… 딱히 떠오르지 않네요. 정확한건 선생님들께 여쭤보는게 좋을 거 같아요!@,
40,파비안,@병원에 특별한 일이 있나요?@,병원 - 신문기사
41,케이트,@글쎄요.. 낮시간대에 손님이 몰리는것 말고는 평소와 비슷해요.@,
42,케이트,@맞아^ 요즘은 흔히 ‘위험해’ 보이는 환자분들이 조금 줄긴 했어요.@,
43,파비안,@최근 도시에서 특징적인 ⓡ(비릿한 냄새)ⓦ를 맡으신적이 있으신가요? 평소에는 맡지 못했던.@,비릿한 냄새 1
44,케이트,@ⓡ(비릿한 냄새)ⓦ요? 병원에서는 맡은적이 없는것 같은데요?@,
45,케이트,@으음...~ 그건 잘 모르겠어요.@,케이트 Nothing
46,파비안,@안녕하십니까^ 잠깐 대화 가능하실까요?@,의사 최초대사
47,앨런,@물론입니다. 어떤일로 찾아오셨을까요?@☆①,
48,앨런,@더 궁금하신게 있으십니까.@☆①,반복대사
49,파비안,(그는 무표정한 얼굴로 담배를 피고 있다.),살펴보기
50,파비안,(이름표에는 앨런 P 파크스 라고 적혀있다.),
