ID,캐릭터이름,대사,
1,경찰관A,@음? 오랜만이군. 무슨일로 찾아왔나.@,//최초대사
2,노아,@뭐^ 의뢰 때문이죠. ⓖ(알버트)ⓦ는 잘 있나요?@,
3,경찰관A,@평소랑 똑같지. @,
4,경찰관A,@...구태여 말하는데^ 괜히 이상한 사건 일으키지 말고 조심히 행동하게. @,
5,노아,@그럼요. 이번 일도 별거 아닌 의뢰에요.@,
6,경찰관A,@뭐 더 할말이라도 남았나?@,//반복대사
7,경찰관B,@음? 요즘 통 안보이더니 오랜만이네.@,//최초대사
8,노아,@그러게요. 요즘은 일이 별로 없긴했죠.@,
9,경찰관B,@최근들어 마피아나 양아치 녀석들이 잠잠했으니까 말이야.@,
10,경찰관B,@......뭐 좋은게 좋은거 아니겠어.@,
11,경찰관B,@더 물어볼게 있으면 알버트에게 말해봐.@,
12,경찰관B,@뭐^ 내 일이라도 도와주게?@,
13,알버트,@오랜만이네 ⓖ(알버트)ⓦ@,알버트 최초대사
14,파비안,@오^ 파비안. 오랜만인걸?.@,
15,파비안,@그러게^ 요즘은 통 일이 없긴했지. 설마 주변이 평화로워서 골머리를 썩힐 줄이야.@,
16,파비안,@넌 편하겠어 요즘엔 현장에 나갈일도 없을거 아냐.@,
17,알버트,@으음~ 그게말이지…@,
18,파비안,@왜^ 또 밀주 때문에 말썽이야?@,
19,알버트,@그것도 있긴 한데 어차피 관리 감독만 해주면 되니까 @,
20,파비안,@그럼 또 서장한테 찍혔어? 저번에도 서류때문에 한소리 듣더니만@,
21,알버트,@그것도 아니라고는 못하지만 말이지..~@,
22,파비안,(그리고는 ⓖ(알버트)ⓦ는 약간 진지해진 얼굴로 주변을 살펴보더니 작게 속삭이기 시작했다.),
23,알버트,@알지? 어디가서 말하면안된다?@,
24,파비안,@물론이지^ 언제 내쪽에서 정보가 센적 있어?@,
25,알버트,@그렇긴하지^ 그래서 말이야. 요 근래에 남자 넷^ 여자 둘이 사라지는 ⓡ(●2연속 실종 사건)ⓦ이 발생했어.@,
26,파비안,@실종? 그런거야 이 근방에서는 흔한 일 아니었나?@,
27,알버트,@물론 빈민가 사람들이면 그렇긴한데 이번엔 그렇지 않거든@,
28,알버트,@다들 중산층에 직업도 건실하게 있는 사람이었고 실종될 징후도 없었거든. 가족들도 의아해 하더라고.@,
29,알버트,@게다가 실종된 6명은 모두 서로 모르는 남남이었으니까^ 개별 사건이라고 생각하는 사람도 있더라고@,
30,파비안,@불특정 ⓡ(연쇄 실종 사건)ⓦ이라니 특이하기도 하네.@,
31,파비안,@그런데 잠깐^ 이런 소식은 전혀 못들어 본것 같은데 실종 사건이면 전단이나 신문에 기사를 내던가 하지 않아?@,
32,알버트,@그게 이렇게 속닥거리는 이유야. 상부에서 비밀로 부치라는 말이 나왔거든@,
33,알버트 ,@서내에 출입하는 기자들 뿐만 아니라 피해 가족들에게 까지도.@,
34,알버트,@우리끼리는 뭐 마피아라도 관련된거 아니냐 하지만 말이야. 이크^ ⓖ(메이브)ⓦ가 들으면 성내겠어.@,
35,알버트,@아무튼 뭔가 으스스하지 않아? 최근 조용한 가운데 사람은 흔적도 없이 사라지고.@,
36,알버트,@조심하라고 알려주는거니까 괜히 고개 들이밀지는 말고^ 이거 들키면 징계라구.@,
37,파비안,@알겠어 알겠어. 걱정하지마@☆①,
38,알버트,@뭐 물어볼거라도 더 남아있어?@☆①,//반복대사
