ID,캐릭터이름,대사,
1,파비안,@안녕하십니까 어르신^ 지금 뭘하고 계시나요?@,//노인 최초대화 // 노인 획득없을떄
2,???,@으음? 자네도 ⓑ(미스캐토닉 대학)ⓦ에서 온 내 학생인가?@,
3,파비안,@네? 아닙니다만.@,
4,???,@뭐야^ 아니었나? 그럼 뭐^ 됐네.@,
5,파비안 ,@?@,
6,파비안,(그렇게 말한 노인은 나와의 대화는 없었던 일인 것처럼 다시 고개를 박고 강을 보고 있다.)☆①,
7,파비안,(내 말이 전혀 들리지 않는 것 같다.)☆①,//반복대화
8,파비안,(백발의 노인이 강가를 뚫어져라 쳐다보면서 중얼거리고 있다.),//살펴보기
9,파비안,(가끔씩 물의 냄새를 맡거나 맛을 보기도 한다),
10,파비안,’이걸 보니 좀 안심 되는걸. 평소와 같은 아컴이군.’,
11,파비안,(내 말에 전혀 관심이 없어 보인다.),Nothing
12,파비안,(어두운 하수도로 강에 연결되어 있는 것으로 보인다.),하수도 최초대사
13,파비안,‘안이 엄청 어둡군.’☆①,
14,파비안,(어두운 하수도^ 자물쇠로 잠겨있다.)☆①,하수도 반복
15,파비안,@으음… 자세히 한번 볼까.@♠②,하수도 살펴보기
16,파비안,(너무 어두워 아무것도 보이지 않아 고개를 돌리려던 순간.),성공
17,파비안,’뭐야 저건..?’,
18,파비안,(아주 미세하게 반짝이는 그것을 향해 시선을 집중시키자 서서히 그 윤곽이 보인다.),
19,파비안,’사람이잖아? 반짝이는건 눈 이었고.’,
20,파비안,’아니 그런데 어떻게 ⓡ(●1눈알)ⓦ이 저렇게 클수가…!?’,키워드 획득
21,파비안,(사람 눈 위치에 박혀있는 그 눈알은 일반인의 것보다 2~3배는 커 보였다.),
22,파비안,(또^ 마치 생선의 것처럼 뚜렷했고 눈꺼풀이 없었다.),
23,파비안,(잠깐이나마 눈을 마주했는데도 마치 심해에 들어간 것처럼 몸이 차가워 진다.)♠③,//이성판정
24,파비안,@젠장 저게 도대체 뭐야!@,
25,파비안,(정신을 차리고 다시 확인했을때는 아무것도 보이지 않았다.) \n(정신력 감소 - 10),
26,파비안,( 너무 어두워 제대로 보이는 것은 없다.),하수도 실패
27,,@젠장 저게 도대체 뭐야!@,//이성판정
28,,(정신을 차리고 다시 확인했을때는 아무것도 보이지 않았다.) ,
29,,,하수도 문따기 넣어야됨
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,,,
66,,,
67,,,
68,,,
69,,,
70,,,
71,,,
72,,,
73,,,
74,,,
75,,,
76,,,
77,,,
78,,,
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,,,
86,,,
87,,,
88,,,
89,,,
90,,,
91,,,
92,,,
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
100,,,
101,,,
102,,,
103,,,
104,,,
105,,,
106,,,
107,,,
108,,,
109,,,
110,,,
111,,,
112,,,
113,,,
114,,,
115,,,
116,,,
117,,,
118,,,
119,,,
120,,,
121,,,
122,,,
123,,,
124,,,
125,,,
126,,,
127,,,
128,,,
129,,,
130,,,
131,,,
132,,,
133,,,
134,,,
135,,,
136,,,
137,,,
138,,,
139,,,
140,,,
141,,,
142,,,
143,,,
144,,,
145,,,
146,,,
147,,,
148,,,
149,,,
150,,,
151,,,
152,,,
153,,,
154,,,
155,,,
156,,,
157,,,
158,,,
159,,,
160,,,
161,,,
162,,,
163,,,
164,,,
165,,,
166,,,
167,,,
168,,,
169,,,
170,,,
171,,,
172,,,
173,,,
174,,,
175,,,
176,,,
177,,,
178,,,
179,,,
180,,,
181,,,
182,,,
183,,,
184,,,
185,,,
186,,,
187,,,
188,,,
189,,,
190,,,
191,,,
192,,,
193,,,
194,,,
195,,,
196,,,
197,,,
198,,,
199,,,
200,,,
201,,,
202,,,
203,,,
204,,,
205,,,
206,,,
207,,,
208,,,
209,,,
210,,,
211,,,
212,,,
213,,,
214,,,
215,,,
216,,,
217,,,
218,,,
219,,,
220,,,
221,,,
222,,,
223,,,
224,,,
225,,,
226,,,
227,,,
228,,,
229,,,
230,,,
231,,,
232,,,
233,,,
234,,,
235,,,
236,,,
237,,,
238,,,
239,,,
240,,,
241,,,
242,,,
243,,,
244,,,
245,,,
246,,,
247,,,
248,,,
249,,,
250,,,
251,,,
252,,,
253,,,
254,,,
255,,,
256,,,
257,,,
258,,,
259,,,
260,,,
261,,,
262,,,
263,,,
264,,,
265,,,
266,,,
267,,,
268,,,
269,,,
270,,,
271,,,
272,,,
273,,,
274,,,
275,,,
276,,,
277,,,
278,,,
279,,,
280,,,
281,,,
282,,,
283,,,
284,,,
285,,,
286,,,
287,,,
288,,,
289,,,
290,,,
291,,,
292,,,
293,,,
294,,,
295,,,
296,,,
297,,,
298,,,
299,,,
300,,,
301,,,
302,,,
303,,,
304,,,
305,,,
306,,,
307,,,
308,,,
309,,,
310,,,
311,,,
312,,,
313,,,
314,,,
315,,,
316,,,
317,,,
318,,,
319,,,
320,,,
321,,,
