ID,캐릭터이름,대사,
1,Fabian,@Dave How are you?@,최초대사
2,Dave,@It's always the same for me.@,
3,Fabian,@What's the big news?@,
4,Dave,@Hmm... Two small ones would be enough to make me remember...@★③,
5,Dave,@By the way^ I heard that smuggling crackdowns have intensified recently...@,랜덤 / 1
6,Fabian,@Is that it?@,
7,Dave,@Two small ones if you want to hear more^ you know.@★③,
8,Dave,@I've noticed a lot of new faces in the slums lately.@,랜덤 / 2
9,Fabian,@A new face?@,
10,Dave,@I'm having a hard time placing them.@★③,
11,Dave,@Now that I think about it^ I've smelled a strange ⓡ(●1ⓕfishy smell)ⓦ while walking around.@,랜덤 / 3
12,Fabian,@ⓡ(fishy smell)ⓦ?@,
13,Fabian,(He shrugged when I looked at him like this was a no-brainer.),
14,Dave,@Oddly enough^ it smells like that in places where it shouldn't...@★③,
15,Dave,@I hear there's a flea market coming up next to the north baker street.@,랜덤 /4
16,Fabian,@I see...@★③,
17,Dave,@There have been many ships at the ⓑ(wharf)ⓦ recently. If it's not nighttime^ we can work anytime.@,랜덤 /5
18,Fabian,@I see^ How much do they pay for it?@,
19,Dave,@hey said they would give at least 3 dollars.@★③,
20,Dave,@The way things are going^ it looks like food prices are going to go up in the next month or so.@,랜덤 /6
21,Fabian,@I'll have to stock up on something.@★③,
22,Dave,@Hmm... hold on a second.@,랜덤 /7
23,Dave,@Give me a couple more and I'll think about it.@★③,
24,Dave,@Hmmm... Speaking of which^ there's been a lot of talk lately about ⓡ(●1ⓢalligators in the sewers)ⓦ.@,랜덤 /8
25,Fabian,@Is there alligators in the sewer?@,
26,Dave,@It's just an ghost story^ after all. They say a wealthy person released the alligators they were raising to avoid getting caught.@,
27,Dave,@And that alligators survived and now lives in the sewer... It's an incredible story^ isn't it?@,
28,Fabian,@I see...@,
29,Dave,@I've never seen it^ although some people have said they've actually seen it.@★③,
30,Dave,@Two small ones.@★③,Dave 반복
31,Dave,@You're out of money.@,Dave 돈없음
32,Dave,@There's nothing more I can tell you.@,Dave 소재 x
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,,,
66,,,
67,,,
68,,,
69,,,
70,,,
71,,,
72,,,
73,,,
74,,,
75,,,
76,,,
77,,,
78,,,
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,,,
86,,,
87,,,
88,,,
89,,,
90,,,
91,,,
92,,,
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
100,,,
101,,,
102,,,
103,,,
104,,,
105,,,
106,,,
107,,,
108,,,
109,,,
110,,,
111,,,
112,,,
113,,,
114,,,
115,,,
116,,,
117,,,
118,,,
119,,,
120,,,
121,,,
122,,,
123,,,
124,,,
125,,,
126,,,
127,,,
128,,,
129,,,
130,,,
131,,,
132,,,
133,,,
134,,,
135,,,
136,,,
137,,,
138,,,
139,,,
140,,,
141,,,
142,,,
143,,,
144,,,
145,,,
146,,,
147,,,
148,,,
149,,,
150,,,
151,,,
152,,,
153,,,
154,,,
155,,,
156,,,
157,,,
158,,,
159,,,
160,,,
161,,,
162,,,
163,,,
164,,,
165,,,
166,,,
167,,,
168,,,
169,,,
170,,,
171,,,
172,,,
173,,,
174,,,
175,,,
176,,,
177,,,
178,,,
179,,,
180,,,
181,,,
182,,,
183,,,
184,,,
185,,,
186,,,
187,,,
188,,,
189,,,
190,,,
191,,,
192,,,
193,,,
194,,,
195,,,
196,,,
197,,,
198,,,
199,,,
200,,,
201,,,
202,,,
203,,,
204,,,
205,,,
206,,,
207,,,
208,,,
209,,,
210,,,
211,,,
212,,,
213,,,
214,,,
215,,,
216,,,
217,,,
218,,,
219,,,
220,,,
221,,,
222,,,
223,,,
224,,,
225,,,
226,,,
227,,,
228,,,
229,,,
230,,,
231,,,
232,,,
233,,,
234,,,
235,,,
236,,,
237,,,
238,,,
239,,,
240,,,
241,,,
242,,,
243,,,
244,,,
245,,,
246,,,
247,,,
248,,,
249,,,
250,,,
251,,,
252,,,
253,,,
254,,,
255,,,
256,,,
257,,,
258,,,
259,,,
260,,,
261,,,
262,,,
263,,,
264,,,
265,,,
266,,,
267,,,
268,,,
269,,,
270,,,
271,,,
272,,,
273,,,
274,,,
275,,,
276,,,
277,,,
278,,,
279,,,
280,,,
281,,,
282,,,
283,,,
284,,,
285,,,
286,,,
287,,,
288,,,
289,,,
290,,,
291,,,
292,,,
293,,,
294,,,
295,,,
296,,,
297,,,
298,,,
299,,,
300,,,
301,,,
302,,,
303,,,
304,,,
305,,,
306,,,
307,,,
308,,,
309,,,
310,,,
311,,,
312,,,
313,,,
314,,,
315,,,
316,,,
317,,,
318,,,
319,,,
320,,,
321,,,
