ID,캐릭터이름,대사,,
1,Fabian,(Things really took a turn for the worse when I stopped by the office for a quick bite to eat.),의뢰 받은상태 ^ 실종사건 12 없음,
2,Fabian,@What's going on^ ⓖ(Albert)ⓦ?@,,
3,Fabian,(ⓖ(Albert)ⓦ called me out of the blue and started whisper to me.),,
4,Albert,(I could see ⓖ(Ella triss)ⓦ dead^ almost her entire body^ especially her neck^ twisted in such a grotesque way.),,
5,Fabian ,@her husband was suffering from ⓡ(nightmares)ⓦ. But why are you asking about her?@,,
6,Albert,@She was just murdered^ about ten minutes ago.@,,
7,Fabian,@What..?@,,
8,Albert,@It looks like the wife was ⓡ(murdered)ⓦ and the husband ⓡ(disappeared)ⓦ.@,키워드 엘라 - 살해당한 의뢰자 // 에이든 - 실종당한 의뢰대상 획득,
9,Albert,@We're still investigating^ but there's a lot that doesn't add up to a mugging.@,,
10,Albert,@You should probably stop getting involved in that.@,,
11,Fabian ,@You know my personality. I hate don't feel refreshed.@,,
12,Albert,@Ugh... You do realize I can't help you in the field^ right?@,,
13,Fabian ,@I suppose so. Thanks anyway.@,,
14,Albert ,@Don't bother hands-on guys^ but let me know if you know anything new.@,,
15,Albert,@I will.@,,
16,Fabian,(I hung up the phone with that and ran out the door without another thought).◎⑧,,
17,Fabian,(Things really took a turn for the worse when I stopped by the office for a quick bite to eat.),의뢰 받은상태 ^ 실종사건 12 있음,
18,Fabian,@What's going on^ ⓖ(Albert)ⓦ?@,,
19,Fabian,(ⓖ(Albert)ⓦ called me out of the blue and started whisper to me.),,
20,Albert,@Do you remember ⓖ(Ms. Ella triss)ⓦ^ who came to your office yesterday in morning?@,,
21,Fabian ,@her husband was suffering from ⓡ(nightmares)ⓦ. But why are you asking about her?@,,
22,Albert,@She was just murdered^ about ten minutes ago.@,,
23,Fabian,@What..?@,,
24,Albert,@It looks like the wife was ⓡ(murdered)ⓦ and the husband ⓡ(disappeared)ⓦ.@,키워드 엘라 - 살해당한 의뢰자 // 에이든 - 실종당한 의뢰대상 획득,
25,Albert,@We're still investigating^ but there's a lot that doesn't add up to a mugging.@,,
26,Albert,@You should probably stop getting involved in that.@,,
27,Fabian ,@You know my personality. I hate don't feel refreshed.@,,
28,Albert,@Ugh... You do realize I can't help you in the field^ right?@,,
29,Fabian ,@I suppose so. Thanks anyway.@,,
30,Albert ,@Don't bother hands-on guys^ but let me know if you know anything new.@,,
31,Albert,@I will.@,,
