ID,캐릭터이름,대사,,,
1,Fabian,'There's a suspicious person standing in front of me.',,,
2,Fabian,'How do I....'⊙④,선택지 출현 -> 변장 안했을시.,,
3,Fabian,(Luckily^ I was able to move on without being seen.)⊙⑤,은밀행동 성공 -> 화면 암전이후 이동 -> 맵생성,,
4,Fabian,(The attempt to sneak past failed.),은밀행동 실패,,
5,Fabian,(The figure approached me with a look of intense hostility that said it didn't care about my excuses.),,,
6,Fabian,@Damn...@⊙⑥,,,
7,???,@Wait... I don't recognize you there. Stop.@,변장 판정 실패,,
8,Fabian,'Oh my... Did I get caught?',,,
9,Fabian,@I'll have to make excuses it somehow.@⊙⑦,언변술 판정,,
10,Fabian,(I somehow managed to get away with it.),언변술 판정 성공,,
11,Fabian,'Let's get out of here quickly.'⊙⑤,,,
12,Fabian,'Oh ... I think I've been found out...!',언변술 판정 실패,,
13,Fabian,'I can't help^ it I have to deal with it.'⊙⑥,,,
14,Fabian,(A map that looks outdated.)☆①,지도 대사,,
15,Fabian,(It's a weird map where the roads look weirdly intertwined.),살펴보기,,
16,Fabian,'This is why I felt like the paths were strangely intertwined...',,,⒳
17,Fabian,'Anyway^ this will make it easier to get around.',,,
18,Fabian,,> 지도 가져감 ,,
19,Fabian,(This is an old note.)☆①,일지 대사,,
20,Fabian,@Let's take a look...@,살펴보기,,
21,Fabian,(The notes were written in very dirty handwriting and were quite illegible^ but appeared to be some sort of plan and journal.),,,
22,,⒳Cthulhu's advent is made possible by a contract with Dagon^ a (planetary parade) when the veil between the Otherworld and reality is thinned.ⓦ, 회색조 이텔릭체,,
23,,⒳The location was crucial because five symbols needed to be carved for advent^ and if the symbols were damaged before the ceremony^ the advent would fail.ⓦ,,,
24,,⒳The best place to hide the symbols and work on it seems to be the (sewers) of Arkham.ⓦ,,,
25,,⒳Let's contact people's dreams there and choose the respondent who will be the living sacrifice.ⓦ,,,
26,,......,,,
27,,⒳We brought in deep-one from Innsmouth and started working under the (sewers).ⓦ,,,
28,,⒳Intimidating the stupid-looking (sewer warden) was a piece of cake. ⓦ,,,
29,,⒳His wife and children have already been sacrificed^ but he does everything in his power to keep his family safe. Funny.ⓦ,,,
30,,......,,,
31,,⒳To make it easier for deep-one to operate^ we've carved a marker into the (sewers).ⓦ,,,
32,,⒳There will be a slight (fishy smell)^ but it's (sewage) and people won't care.ⓦ,,,
33,,......,,,
34,,⒳Four symbols have already been carved^ and only one remains. The final sacrifice is a journalist named (Aiden triss) who has been scouring the area.ⓦ,,,
35,,⒳(Aiden) has been kidnapped. A henchman accidentally killed his wife^ but it's not a big deal now.ⓦ,,,
36,,⒳Advent is just around the corner.ⓦ,,,
37,,⒳I've marked the location of the last symbol on the map. Be careful because I've left fewer people to avoid detection.ⓦ,,,
38,Fabian,@P.S. If there is a disturbance^ it is permitted to accompany 'THAT'...@◐①,이성판정,,
39,Fabian,@Deep-One? Cthulhu? I don't know what the hell they're talking about...@,,,
40,Fabian,@At the very least^ I'm pretty sure that the guy who wrote this journal is behind everything that's happening in the city right now.@,,,
41,Fabian,@A symbol on the map... so erasing it may solve the problem.@,,,
42,Fabian,@I don't believe it^ but if that doesn't keep this shitty dream going... It might not be a bad idea to try.@,,,
43,Fabian,(It's a strange book covered in green moss.)☆①,마도서 보기,,
44,Fabian,(The moment I open this strangely blasphemous book^ strange words are etched into my cornea.),살펴보기,,
45,Fabian,(A bunch of letters cluttering my brain reminds me of something.)◐②,이성판정,,
46,Fabian,(Intense dizziness and a headache that felt like it was crushing my eyeballs^ but I couldn't close the book.),,,
47,Fabian,(Somewhere around the time I started seeing pictures and letters....)◐③,오컬트 판정,,
48,Fabian,(I could understand what the letters meant.),성공,,
49,Fabian,'This is.... It's a book about the rituals of ⓑ(●4Cthulhu's advent)ⓦ.',,,
50,Fabian,'The method is simple... just smear the blood of the sacrifice on the already carved symbols...',,,
51,Fabian,@Damn^ I read the wrong thing.@,,,
52,Fabian,(I tried to come up with something^ but the words and characters eventually drifted out of my head.),실패,,
53,Fabian,@Damn^ I read the wrong thing.@,,,
54,Fabian,(It's grooved in a strange symbol.),<>문양 대화,,
55,Fabian,(The shape itself looks profane^ but it doesn't feel anything yet.)☆①,,,
56,Fabian,@This must be the symbol I saw in that journal.@,<>살펴보기^ 일지 봤다면,,
57,Fabian,@If I break this^ I can disrupt it...?@,,문양 파괴시 어찌됬든 물은 차오름,
58,Fabian,@I'll just have to scrape it off with a rock I have lying around.@,,,
59,Fabian,(A blasphemous-looking symbol is carved into the wall.),<>살펴보기^ 일지 안봤다면,,
60,Fabian,@hmm.... ?@◐④,오컬트 판정,,
61,Fabian,'It seems to be a symbol used to summon something.'',<>판정 성공,,
62,Fabian,(Nothing in particular came to mind.),<>판정 실패,,
63,Fabian,(I picked up a rock lying around and slammed it down on the symbol.),<>힘 판정 성공,,
64,Fabian,(When the existing form of the symbol becomes unrecognizable.),,,
65,Fabian,(An image began to form in my head.),,,
66,Fabian,@This... this is... what the hell...@◐⑤,이성판정,,
67,Fabian,(I picked up a rock lying around and slammed it down on the symbol.),<>힘 판정 실패,,
68,Fabian,@Ugh!@※⑧,체력 5감소,,
69,Fabian,(The stone then bounced and hit me near the eye.),,,
70,Fabian,(And an image began to form in my brain.),,,
71,Fabian,@This... this is... what the hell...@◐⑤,이성판정,,
72,Fabian,@Whoa...@,<>이성판정 연결,,
73,Fabian,(I barely managed to resist its intense force.),<<< 엔딩으로!!^ 물 차는거!,,
74,Fabian,(As if possessed by something^ I made a cut in my hand and brought it to the symbol.),키워드 -> 문양,,
75,Fabian,'What? What am I doing?',,,
76,Fabian,(Then the walls began to fill with a reddish color^ as if they were absorbing my blood.),<<< 엔딩으로!!^ 물 차는거!,,
77,Fabian,(I don't think it has anything to do with this symbol.),키워드 실패,,
78,Fabian,,,,
79,Fabian,,,,
80,Fabian,,,,
81,,,,,
82,,,,,
83,,,,,
84,,,,,
85,,,,,
86,,,,,
87,,,,,
88,,,,,
89,,,,,
90,,,,,
91,,,,,
92,,,,,
93,,,,,
94,,,,,
95,,,,,
96,,,,,
97,,,,,
98,,,,,
99,,,,,
100,,,,,
101,,,,,
102,,,,,
103,,,,,
104,,,,,
105,,,,,
106,,,,,
107,,,,,
108,,,,,
109,,,,,
110,,,,,
111,,,,,
112,,,,,
113,,,,,
114,,,,,
115,,,,,
116,,,,,
117,,,,,
118,,,,,
119,,,,,
120,,,,,
121,,,,,
122,,,,,
123,,,,,
124,,,,,
125,,,,,
126,,,,,
127,,,,,
128,,,,,
129,,,,,
130,,,,,
131,,,,,
132,,,,,
133,,,,,
134,,,,,
135,,,,,
136,,,,,
137,,,,,
138,,,,,
139,,,,,
140,,,,,
141,,,,,
142,,,,,
143,,,,,
144,,,,,
145,,,,,
146,,,,,
147,,,,,
148,,,,,
149,,,,,
150,,,,,
151,,,,,
152,,,,,
153,,,,,
154,,,,,
155,,,,,
156,,,,,
157,,,,,
158,,,,,
159,,,,,
160,,,,,
161,,,,,
162,,,,,
163,,,,,
164,,,,,
165,,,,,
166,,,,,
167,,,,,
168,,,,,
169,,,,,
170,,,,,
171,,,,,
172,,,,,
173,,,,,
174,,,,,
175,,,,,
176,,,,,
177,,,,,
178,,,,,
179,,,,,
180,,,,,
181,,,,,
182,,,,,
183,,,,,
184,,,,,
185,,,,,
186,,,,,
187,,,,,
188,,,,,
189,,,,,
190,,,,,
191,,,,,
192,,,,,
193,,,,,
194,,,,,
195,,,,,
196,,,,,
197,,,,,
198,,,,,
199,,,,,
200,,,,,
201,,,,,
202,,,,,
203,,,,,
204,,,,,
205,,,,,
206,,,,,
207,,,,,
208,,,,,
209,,,,,
210,,,,,
211,,,,,
212,,,,,
213,,,,,
214,,,,,
215,,,,,
216,,,,,
217,,,,,
218,,,,,
219,,,,,
220,,,,,
221,,,,,
222,,,,,
223,,,,,
224,,,,,
225,,,,,
226,,,,,
227,,,,,
228,,,,,
229,,,,,
230,,,,,
231,,,,,
232,,,,,
233,,,,,
234,,,,,
235,,,,,
236,,,,,
237,,,,,
238,,,,,
239,,,,,
240,,,,,
241,,,,,
242,,,,,
243,,,,,
244,,,,,
245,,,,,
246,,,,,
247,,,,,
248,,,,,
249,,,,,
250,,,,,
251,,,,,
252,,,,,
253,,,,,
254,,,,,
255,,,,,
256,,,,,
257,,,,,
258,,,,,
259,,,,,
260,,,,,
261,,,,,
262,,,,,
263,,,,,
264,,,,,
265,,,,,
266,,,,,
267,,,,,
268,,,,,
269,,,,,
270,,,,,
271,,,,,
272,,,,,
273,,,,,
274,,,,,
275,,,,,
276,,,,,
277,,,,,
278,,,,,
279,,,,,
280,,,,,
281,,,,,
282,,,,,
283,,,,,
284,,,,,
285,,,,,
286,,,,,
287,,,,,
288,,,,,
289,,,,,
290,,,,,
291,,,,,
292,,,,,
293,,,,,
294,,,,,
295,,,,,
296,,,,,
297,,,,,
298,,,,,
299,,,,,
300,,,,,
301,,,,,
302,,,,,
303,,,,,
304,,,,,
305,,,,,
306,,,,,
307,,,,,
308,,,,,
309,,,,,
310,,,,,
311,,,,,
312,,,,,
313,,,,,
314,,,,,
315,,,,,
316,,,,,
317,,,,,
318,,,,,
319,,,,,
320,,,,,
321,,,,,
322,,,,,
323,,,,,
324,,,,,
325,,,,,
326,,,,,
327,,,,,
328,,,,,
329,,,,,
330,,,,,
331,,,,,
332,,,,,
333,,,,,
334,,,,,
335,,,,,
336,,,,,
337,,,,,
338,,,,,
339,,,,,
340,,,,,
341,,,,,
342,,,,,
343,,,,,
344,,,,,
345,,,,,
346,,,,,
347,,,,,
348,,,,,
349,,,,,
350,,,,,
351,,,,,
352,,,,,
353,,,,,
354,,,,,
355,,,,,
356,,,,,
357,,,,,
358,,,,,
359,,,,,
360,,,,,
361,,,,,
362,,,,,
363,,,,,
364,,,,,
365,,,,,
366,,,,,
367,,,,,
368,,,,,
369,,,,,
370,,,,,
371,,,,,
372,,,,,
373,,,,,
374,,,,,
375,,,,,
376,,,,,
377,,,,,
378,,,,,
379,,,,,
