ID,캐릭터이름,대사,
1,파비안,@흐음...@,
2,파비안,(벌써 며칠 째 의뢰가 전혀 들어오고 있지 않다.),
3,파비안,(월세가 조금씩 밀리기 시작한지 2달째...),
4,파비안,(그래도 2주 전 까지는 사소한 건수라도 있었지만 슬슬 위태롭다.),
5,파비안,'분명 제이크씨가 이번 달 까지만 유예를 준다고 했는데... 이제는 어떤 변명으로도 못 넘어갈지도.',
6,파비안,@허... 그나저나 이상하단 말이야. 아컴 시가 이렇게 조용하다니.@,
7,파비안,@(덴버)나 (메이브)도 최근 별일 없다고 했고.@,
8,파비안,@경찰^ 갱 둘 다 큰 소신이 없다는걸 보면 정말로 평화로운 한 때 라는건데.@,
9,파비안,@... 이렇게 아이러니한 상황도 없군 그래.@,
10,파비안,@이래서야 원^ 여기로 사무소를 옮긴겄도 다 허사였을지도.@,
11,파비안,@적어도 보스턴에 있을 때는 애완동물 찾기 정도는 끊이지 않았는데 말이야..@,
12,파비안,@후우...@,
13,파비안,'이렇게 한순이나 쉬면서 시간이나 죽이고 있을 바에야 차라리 (부두) 쪽으로 나가서 짐이라도 나르는게 나을거야.',
14,파비안,'더럽게 찝찝하고 돈은 쥐꼬리만큼 주겠지만.',
15,파비안,'그걸로 다 채우지는 못하더라도 제이크씨의 화를 달랠 정도는 될지 모르지',
16,파비안,@설령 쫓겨난다해도 이러고 있는 것 보다는 나을거고.@,
17,파비안,@그럼 나가기 전에 준비라도 잠깐 할까.@◎①,
18,,(오늘 아침 읽지 않고 던져둔 조간 신문이다.)☆①,/ 신문 상호작용
19,파비안,@어디보자 오늘의 헤드라인이 뭐였지...@,/ 신문 상호작용
20,신문,[1000년만의 별과 행성들의 열병식이 거행된다!],
21,신문,[태양을 중심으로 7개의 별과 행성이 일렬로 늘어서는 (행성 대직렬)이 4일 뒤인 7월 15일에 시작된다.],
22,,[이렇게 많은 행성이 일렬로 늘어서는 것은 관측 이래 최초이며...],
23,파비안,(그 아래쪽으로는 인터뷰가 몇 개 실려있다.),
24,파비안,(개중에는 이를 지구 멸망의 징조로 보고 있는 사람도 있는 듯 하다.),
25,파비안,(큼지막한 글씨로 단순한 천문현상이 아닌^ 인류사에 영향을 끼칠 수 있는 중대사항일수 있다는 과학자의 의견이 실려있다.),
26,파비안,@어디... 행성들의 간섭으로 중력이 겹쳐져 사람이나 건물이 모두 찌부러져 버릴지도 모른다… 라고?@,
27,파비안,@퍽이나 그러겠어… 만약 그렇다면 그 으리으리한 제이크씨네 집만 쩍하고 으스러뜨려주면 좋겠는데 말이야.@,
28,파비안,@하긴^ 뭐. 이런 쇼라도 해야 특별할 것도 없는 하늘이나 들여다 보는 작자들에게 후원금이 갈테니까.@,
29,파비안,@똑똑한 양반이나 나나 결국 다를바가 없는 인생이군.@,/ 신문 판정성공
30,파비안,@그러고 보니 오늘 신문을 자세히는 안 읽었지.@,
31,파비안,@어디보자.@,
32,신문,[몽골이 중국으로부터 독립하다.],
33,신문,[영국에 대한 아일랜드의 독립전쟁이 드디어 휴전에 돌입하다.],
34,파비안,(그런 내용들이 해드라인이어야 하는 것 아닌가 생각하며 내려간 시선에^ 특이한 소식이 눈에 들어왔다.),
35,신문,(아컴시에서 원인불명의 대규모 (불면증) 유행중.),
36,신문,(최근들어 아컴시 북부^ 남부를 가리지 않고 (불면증) 을 호소하는 사람이 늘어났다.),
37,신문,(이와 함께 발생하는 증상들로 불안증^ 만성피로가 있으며 이 때문에 현재 (병원)은 거의 마비 상태로..),
38,파비안,@요즘은 (불면증)도 전염되나보지? 다들 밤자리를 설쳐서 이렇게 도시가 조용했던 건가.@,
39,파비안,@아무튼 이른 시간이나 낮 시간대 까지는 급한 용무가 아니라면 (병원)은 들리지 않는게 좋겠어.@,
40,파비안,(특별하게 눈이 가는 소식은 없다.),/ 신문 판정실패
41,파비안,@그럼 커피나 한잔 타 마셔볼까.@☆①,/ 스토브 상호작용
42,파비안,(싸구려 인스턴트 커피와 손님용으로 준비해둔 차가 덩그러니 놓여져 있다.),/ 스토브 살펴보기
43,파비안,@오늘은 꽤나 그럴듯한데 왠일이지?@,/스토브 행운판정
44,파비안,@일할 맛이 나겠는걸.@,
45,파비안,(뭔가 오늘은 하루가 잘 풀릴것만 같은 기분이 든다.),/컨디션상승
46,파비안,@윽..@,/스토프 판정실패
47,파비안,(지옥 밑바닥이라도 긁어 온듯한 맛이다.),
48,파비안,(다음에는 그냥 손님용으로 준비한 차를 마시는게 낫겠다.),
49,파비안,(깔끔하게 정리되어있는 책상이다. 조금 먼지가 쌓여있다.)☆①,/책상 상호작용
50,파비안,(내 사무용 책상이다.),/책상 살펴보기
51,파비안,'아니^ 적어도 일주일은 그렇지 않았으니 그냥 책상일지도.',
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,,,
66,,,
67,,,
68,,,
69,,,
70,,,
71,,,
72,,,
73,,,
74,,,
75,,,
76,,,
77,,,
78,,,
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,,,
