ID,캐릭터이름,대사,
1,Fabian,@Hmm... the door is locked.@☆①,<정문>
2,Fabian,@The door is closed because time is late.@,살펴보기.
3,Fabian,@Let's see.... Ah^ it's open.@,판정 / 문따기 성공
4,Fabian,@Oh... This is out of my league.@,판정 / 문따기 실패
5,Fabian,(It looks like there are people inside.)☆①,<창문> - 오전 낮
6,Fabian,(It's impossible to break in because there are people inside.),살펴보기
7,Fabian,(This is a dusty window.)☆①,사람이 없는 - 오후 밤에는
8,Fabian,(It looks like it can be broken.),살펴보기
9,Fabian,'It's not the time to argue about this and that...',힘 판정으로 창문 부수기 성공
10,Fabian,(I wrapped a piece of clothing around my fist and smashed the glass around the lock as quietly as I could.),
11,Fabian,Phew... I can get in now.',
12,Fabian,'It's not the time to argue about this and that...',힘 판정으로 창문 부수기 성공 실패
13,Fabian,@Ugh...@※⑧,// 체력감소
14,Fabian,(A shard of glass is lodged in my fist^ drawing a little blood.),
15,Fabian,'I must have put in a lot of strength than I thought…',
16,Fabian,(The locker contains dirty worker outfit.)☆①,<<사물함 >> 오전 낮 보기
17,Fabian,(At a quick glance^ nothing looks particularly special.),살펴보기
18,Fabian,(The locker contains dirty worker outfit.)☆①,오후 밤 보기
19,Fabian,'This looks like... a workman's outfit for a sewer worker.',살펴보기
20,Fabian,'If I take it with me^ I might be able to disguise myself as one of them.',
21,Fabian,(I grabbed a pair of outfit.)⊙①,
22,Fabian,(Upon closer inspection^ I found a key in the inside pocket of the worker's outfit.),관찰력 성공
23,Fabian,'Is this... a key to the sewer?'⊙②, -> 강변 하수도 입구 들어갈수 있음
24,Fabian,(I couldn't find anything special.),관찰력 실패
25,Fabian,(It appears to be an internal map of the (sewers).)☆①,<<지도>> 오전 낮 보기
26,Fabian,(A map of the inside of a sewer that looks pretty old.),살펴보기 :
27,Fabian,(It appears to be an internal map of the (sewers).)☆①,오후 - 밤
28,Fabian,(A map of the inside of a sewer that looks pretty old.),살펴보기 :
29,Fabian,'Hmm... I guess it wouldn't hurt to take it.',
30,Fabian,(I carefully folded the map and put it in my pocket.)⊙③,
31,Fabian,@Hello^ I'm here to ask you a question.@,최초 대사>>>
32,Warden,@Ugh. Mmm. What brings you here? I'm busy^ so make it quick.@,
33,Fabian,@It's just that I have a question about what's going on inside the (sewer).@,
34,Warden,@I... I can't tell you anything!@,
35,Fabian,'I wonder if he knows it looks even more suspicious.',
36,Warden,@I can't tell you anything about (sewers)!@,
37,Warden,@You're not a cop and you don't have a warrant. Get out of here!@,
38,Fabian,(He is sweating coldly^ afraid of offend some.)☆①,
39,Warden,@Unless you have something to do^ get out of here!@☆①,대사>>>
40,Fabian,(He averts his eyes as if he's uneasy about something.),살펴보기>>>
41,Fabian,'Is he being blackmailed by something?',
42,Fabian,@I'm pretty sure there's pressure by something^ but don't worry^ Warden.@,언변술><성공>
43,Fabian,@As the you said^ I'm just a detective.@,
44,Fabian,@It won't even go down on record that I'm here.@,
45,Fabian,@And if I do something in the (sewers)^ it's not going to be easy to associate it with being here.@,
46,Warden,@Hmmm...@,
47,Warden,@You should be really secretive instead.@,
48,Warden,@Even if you get caught^ you can't tell them about me^ Otherwise^ my family...@,
49,Fabian,'I think his family is caught by hostage.',
50,Fabian,@Sure.@,
51,Fabian,@So... at least there's something going on inside the (sewer)^ right?@,
52,Warden,@Oh^ yeah! A couple of months ago^ some strange people started coming to my house and threatening to take my family hostage.@,
53,Warden,@They started by firing all the other workers and hiring their own.@,
54,Warden,@And then they said^ Stay away from me the (sewer)^ and if I talk about it^ They'll kill ^my wife and child...@,
55,Fabian,@I see... that's unfortunate. But it'll be fixed soon.@,
56,Fabian,@Whether it's me or the police^ this will be resolved in the near future.@,
57,Fabian,(Based on his description^ it's clear that a group of people have taken over the (sewers).),
58,Fabian,(But I don't think he knows exactly what's going on under the hood either.),
59,Fabian,@If so^ can you give me a key to get inside the (sewers)?@,
60,Warden,@A key..? Are you trying to get inside?@,
61,Fabian,@In some cases^ I think that might be the case.@,
62,Warden,@I don't recommend it at all because they already have a presence there... but@,
63,Warden,@No matter what I say^ you won't listen... Here it is.@⊙②,열쇠 획득
64,Warden,@Throw it in the river after you use it^ in case they find out I gave it to you.@,
65,Fabian,@Thank you.@,
66,Warden,@And this is... this is a map of the priests.@,
