ID,캐릭터이름,대사,
1,Fabian,(The house in front of you is the home of Mr. and Mrs. Triss.)※①,// 도착즉시
2,Fabian,@Good morning^ ma'am. I came here because I thought it would be better to meet your husband.@,//문노크 - 진입후
3,Ella,@Welcome... He's in the master bedroom on the second floor.@,
4,Fabian,@Okay^ so how... is your husband's condition still the same?@,
5,Ella,@I think this new situation is even worse... I can't even talk to him anymore.@,
6,Fabian,'Damn^ why now',
7,Fabian,'I need to talk to you before it gets worse.',
8,Fabian,@That's a big deal. Can I go up there right now?@,
9,Ella,@Yes^ please.@,
10,Ella,@How do I...@☆①,//1층 Ella 반복대화1
11,Ella,@I think I'm going to collapse^ it's so hard...@,//1층 Ella 반복대화2
12,Fabian,@Cheer up^ ma'am. There must be a way. ...perhaps.@,
13,Ella,@My husband is in this room.@,//2층 진입시
14,Fabian,(The man sitting on the bed^ clutching a silly-looking ⓡ(●1ⓐsafe)ⓦ and muttering to himself is Aiden.),//방안진입시
15,Fabian,'It's evident at a glance that the condition is serious. Did they really think it was nothing at the ⓑ(hospital)ⓦ?',
16,Fabian,(Everything looks ordinary here. Except for that man on the bed.),//안방 - 관찰력 - 성공
17,Fabian,(It's an ordinary bedroom that could be found anywhere.),//안방 - 관찰력 - 실패
18,Fabian,(A robust physique and an appearance that doesn't match it are quite noticeable.),Aiden -살펴보기
19,Fabian,(Dark circles are deeply set into his face and his eyes are unfocused and cloudy.),
20,Fabian,(I also hadn't shaved in a while and had grown an awkward beard.),
21,Fabian,(And yet^ the ⓡ(safe)ⓦ in his arms holds him tightly.),
22,Fabian,'He look like shit',
23,Fabian,'What's that ⓡ(●1ⓐsafe)ⓦ and why is he holding it like that?',
24,Fabian,(Needless to say^ his condition looks terrible.),Aiden - 관찰력
25,Fabian,(I think I need to be careful about what I choose to talk about.),
26,Fabian,(Also^ that ⓡ(●1ⓐsafe)ⓦ doesn't look like it can be handed over in the usual way.),
27,Fabian,@Hello^ is this ⓖ(Mr. Aiden Triss)ⓦ?@,Aiden - 대화하기 - 최초
28,Aiden,@Ugh...@,
29,Fabian,'Man^ this is serious.',
30,Fabian,@Excuse me^ sir? Are you okay?@,
31,Aiden,@...Huh!? Who are you^ how did you get in here!@,
32,Fabian,@Calm down. Your wife came to me for help.@,
33,Fabian,(At the word wife^ his expression softened for a moment^ then snapped back.),
34,Aiden,@You're useless^ just like anything else! Anyway^ I'm going to die... So just turn off and disappear.@,
35,Fabian,(With that^ he turned his head the other way.),
36,Fabian,@But sir^ ...sir?@,
37,Fabian,(Now he's not even responding to me^ as if he doesn't care what I say).,
38,Fabian,'This isn't going to be easy.',
39,Fabian,(Think of something to talk about that he might respond to.)☆①,
40,Aiden,@What's going on with me...@,Aiden - 반복대화 1
41,Fabian,(He doesn't seem to respond when I try to talk to him.)☆①,
42,Aiden,@What a terrible dream. Ugh... Is it today? Or tomorrow...?@,Aiden - 반복대화 2
43,Fabian,(He doesn't seem to hear me anymore.)☆①,
44,Fabian,@Have you been having strange ⓡ(nightmares)ⓦ lat...@,키워드 - 악몽1 - 
45,Fabian,(Before I could finish my sentence^ he turned those hollow pupils toward me and shouted.),
46,Aiden,@That's right!! It's a horrable ⓡ(●2ⓝnightmare)ⓦ.@,
47,Aiden,@A hopeless dream that I can't wake up from^ even when the seawater keeps pouring down my throat^ and choking me.@,
48,Aiden,@No matter how many times I died^ I couldn't wake up. Yeah... I guess I'm going to die. No^ I'm sure of it…@,
49,Aiden,@No... No^ it's not just me^ we're all going to die. Yeah... Hehe...@,
50,Fabian,@That ⓡ(nightmare)ⓦ. Can you tell me more about that?@,
51,Aiden,@What the...? Who are you!@,
52,Fabian,@What? I... Ha... shit.@,
53,Fabian,(He looks distraught).,
54,Fabian,'Anyway^ it's a terrible dream.',
55,Fabian,@Your wife has requested this^ sir. May I have a word with you?@,키워드 - Ella트리스1 - 
56,Fabian,(When his wife's name came up^ he reacted violently.),
57,Aiden,@That's right^ Ella! Only Ella must survive.@,
58,Aiden,@Yeah^ you. Don't deal with me^ take Ella and get the hell out of this city!@,
59,Aiden,@It's good for you^ too^ come on!@,
60,Fabian,(With that^ he bowed his head and began muttering again.),
61,Fabian,'How can I elicit a different answer...',
62,Fabian,@What's that ⓡ(safe)ⓦ you're holding?@,키워드 - 금고- 
63,Fabian,(When he heard the word 'safe'^ he hugged the thing in his arms harder.),
64,Aiden,@No... This ⓡ(safe)ⓦ must be protected at all costs.@,
65,Fabian,@What was inside that... Ugh^ there's no point in saying more.@★②,
66,Fabian,'There is no peaceful way to resolve this situation.',금고 선택지 1 - 힘
67,Fabian,@Sorry ⓖ(Mr. Aiden)ⓦ^ but I'm going to have to take that one...!@♠①,
68,Fabian,(After a bit of a struggle^ I was able to take the ⓡ(●2ⓐsafe)ⓦ from him.),힘판정 성공
69,Fabian,'Whoo... what can I say now.',
70,Fabian,(With that thought^ I glance back toward ⓖ(Aiden)ⓦ^ but he's got his head down again^ muttering something.),
71,Fabian,@ⓖ(Mr. Aiden)ⓦ? The ⓡ(safe)ⓦ... Huh?@,
72,Fabian,@It worked out in the end...for me?@,
73,Fabian,'The password is... I think^ I won't get an answer even if I ask.',
74,Fabian,'I can try to unlock it myself^ or... Take it to ⓖ(Dusty Dave)ⓦ^ the ⓑ(slum)ⓦ dude^ and he'll fix it.',
75,Fabian,'This guy hasn't slept in a while^ why is he so strong?',힘판정 실패
76,Fabian,(Then my hand slipped and I fell hard backwards).,
77,Fabian,@Uh... My back...@,체력 -1
78,Fabian,'I don't see how it can't be done by force...',
79,Fabian,(I tried to convince him as gently as possible^ mentioning his wife^ ⓖ(Ella Triss)ⓦ.),금고 선택지 2 - 언변술 성공
80,Aiden,@...@,
81,Fabian,(Then^ without a word^ he set the ⓡ(●2ⓐsafe)ⓦ down on the floor.),
82,Fabian,@Thank you for your cooperation. This will make things easier for us.@,
83,Fabian,(I then asked for the password^ but was unable to get an answer.),
84,Fabian,'I can try to unlock it myself^ or... Take it to ⓖ(Dusty Dave)ⓦ^ the ⓑ(slum)ⓦ dude^ and he'll fix it.',
85,Aiden,@No! I'm not giving it to you!@,금고 선택지 2 - 언변술 실패
86,Fabian,(As if he didn't believe me^ he grips the ⓡ(safe)ⓦ even harder.),
87,Fabian,'Nothing is ever easy...',
88,Fabian,'It's better to leave it alone rather than touching it unnecessarily and making it worse.',<선택지 3. 그냥 가만히 둔다.>
89,Fabian,'It's probably got money or valuables in it.',
90,Fabian,(He did not respond to this topic.),//첫번째 키워드 실패
91,Aiden,@What the hell^ who are you!@,//두번째 키워드 실패
92,Fabian,@I was hired by your wife to...@,
93,Aiden,@I don't need you^ so get lost!@,
94,Fabian,(As he said this^ I was slapped in the face by an outstretched arm.),
95,Aiden,@Ugh...@◎⑥,체력 -1
96,Fabian,(He kept yelling at me to leave^ and I finally had to leave the room.),
97,Fabian,(I did a little research on him and found out that he suffers from ⓡ(insomnia)ⓦ and stress-induced ⓡ(paranoia)ⓦ.),<Aiden - 의학지식판정> - 성공
