ID,캐릭터이름,대사,
1,Fabian,@Good day^ sir. I'm here to ask you a few questions.@,Swain 최초대사
2,???,@We're a newspaper^ not a city hall information center.@,
3,Fabian,@Do you know Mr. ⓖ(Aiden Triss)ⓦ? I'm here about him. At the request of Ms. ⓖ(Ella Triss)ⓦ.@,
4,???,@You are a detective^ aren't you? No wonder you seemed shabby.@,
5,Swain,@Anyway^ if it's ⓖ(Aiden's)ⓦ request... I'm his friend^ ⓖ(Berkeley Swain)ⓦ.@,
6,Swain,@He's been in a lot of trouble lately. So maybe the problem is more serious after all?@,
7,Fabian,@Is it noticeable to others?@,
8,Swain,@Phew... It's weird if don't notice^ he's changed his personality 180 degrees.@,
9,Swain,@He was a good-natured and cheerful guy. But he said he couldn't sleep anymore^ eventually^ it came to this day.@,
10,Fabian,@I see.@,
11,Swain,@I don't like being associated with kind of detective^ but if I can help ⓖ(Aiden)ⓦ^ I'll help you. Feel free to ask me anything.@,
12,Fabian,'I don't know he's attitude is good or bad.'☆①,
13,Swain,@Why^ is there anything left to ask?@☆①,// 반복 대사
14,Fabian,(The big man is sweating^ perhaps because of the hot weather.),Swain 살펴보기
15,Fabian,(The bulge in his pocket suggests he's carrying a pistol.),관찰력 판정 성공
16,Fabian,'I guess he carries it as a weapon of restraint or intimidation.',
17,Fabian,(I didn't notice anything in particular.),관찰력 실패
18,Fabian,(I brought up the question in response to a ⓡ(planetary parade)ⓦ article I read this morning.),행성대직렬 - 신문기사 키워드
19,Swain,@Ah that's right^ you were a subscriber to our newspaper too. you have good taste^ that's my article.@,
20,Fabian,@Do you know anything more than what's in the papers?@,
21,Swain,@Well... the astronomy department at ⓑ(●1ⓤMiskatonic University)ⓦ will set up their planetary observing equipment for the day and let us watch.@,
22,Fabian,@I see... Oh^ then^ do you know about ⓖ(Mr. Aiden's)ⓦ recent coverage?@,
23,Swain,@hmm. It's an unspoken rule among reporters that we don't ask each other questions like that^ because if I do^ I might lose the story I'm working on.@,
24,Fabian,@I've heard there's been an epidemic of ⓡ(insomnia)ⓦ lately.@,불면증 - 신문기사  키워드
25,Swain,@Yeah^ that's what Bailey's been covering. Well... it's been hot and humid lately^ so maybe they're having trouble sleeping at night?@,
26,Swain,@I'm not sure if it's for the same reason^ a lot of people have been reporting a strange ⓡ(●1ⓕfishy smell)ⓦ in the city lately.@,
27,Swain,@In my opinion^ wouldn't it be a rotten fish that came in from the ⓑ(wharf)ⓦ.@,
28,Swain,@Well^ I've never been one for dreams.@,악몽 - 에이든의 악몽
29,Swain,@He's ⓡ(paranoid)ⓦ? I thought he prided himself on being physically and mentally healthy.@,편집증
30,Fabian,@Did he not have any symptoms associated with it before?@,
31,Swain,@Yeah^ he never had that problem before.@,
32,Fabian,@Do you know anything about ⓖ(Ms. Ella Trice)ⓦ?@,엘라트리스 - 의뢰인
33,Swain,@Other than being ⓖ(Aiden's)ⓦ wife...@,
