ID,캐릭터이름,대사,,,
1,Fabian,'There's a suspicious person standing in front of me.',,,
2,Fabian,'How do I....'⊙④,선택지 출현 -> 변장 안했을시.,,
3,Fabian,(Luckily^ I was able to move on without being seen.)⊙⑤,은밀행동 성공 -> 화면 암전이후 이동 -> 맵생성,,
4,Fabian,(The attempt to sneak past failed.),은밀행동 실패,,
5,Fabian,(The figure approached me with a look of intense hostility that said it didn't care about my excuses.),,,
6,Fabian,@Damn...@⊙⑥,,,
7,???,@Wait... I don't recognize you there. Stop.@,변장 판정 실패,,
8,Fabian,'Oh my... Did I get caught?',,,
9,Fabian,@I'll have to make excuses it somehow.@⊙⑦,언변술 판정,,
10,Fabian,(I somehow managed to get away with it.),언변술 판정 성공,,
11,Fabian,'Let's get out of here quickly.'⊙⑤,,,
12,Fabian,'Oh ... I think I've been found out...!',언변술 판정 실패,,
13,Fabian,'I can't help^ it I have to deal with it.'⊙⑥,,,
14,Fabian,(A map that looks outdated.)☆①,지도 대사,,
15,Fabian,(It's a weird map where the roads look weirdly intertwined.),살펴보기,,
16,Fabian,'This is why I felt like the paths were strangely intertwined...',,,⒳
17,Fabian,'Anyway^ this will make it easier to get around.',,,
18,,⒳Now be able to use the map again.ⓦ⊙⑨,> 지도 가져감 ,,
19,Fabian,(This is an old note.)☆①,일지 대사,,
20,Fabian,@Let's take a look...@,살펴보기,,
21,Fabian,(The notes were written in very dirty handwriting and were quite illegible^ but appeared to be some sort of plan and journal.),,,
22,,⒳Cthulhu's advent is made possible by a contract with Dagon^ a (planetary parade) when the veil between the Otherworld and reality is thinned.ⓦ, 회색조 이텔릭체,,
23,,⒳The location was crucial because five symbols needed to be carved for advent^ and if the symbols were damaged before the ceremony^ the advent would fail.ⓦ,,,
24,,⒳The best place to hide the symbols and work on it seems to be the (sewers) of Arkham.ⓦ,,,
25,,⒳Let's contact people's dreams there and choose the respondent who will be the living sacrifice.ⓦ,,,
26,,......,,,
27,,⒳We brought in deep-one from Innsmouth and started working under the (sewers).ⓦ,,,
28,,⒳Intimidating the stupid-looking (sewer warden) was a piece of cake. ⓦ,,,
29,,⒳His wife and children have already been sacrificed^ but he does everything in his power to keep his family safe. Funny.ⓦ,,,
30,,......,,,
31,,⒳To make it easier for deep-one to operate^ we've carved a marker into the (sewers).ⓦ,,,
32,,⒳There will be a slight (fishy smell)^ but it's (sewage) and people won't care.ⓦ,,,
33,,......,,,
34,,⒳Four symbols have already been carved^ and only one remains. The final sacrifice is a journalist named (Aiden triss) who has been scouring the area.ⓦ,,,
35,,⒳(Aiden) has been kidnapped. A henchman accidentally killed his wife^ but it's not a big deal now.ⓦ,,,
36,,⒳Advent is just around the corner.ⓦ,,,
37,,⒳I've marked the location of the last symbol on the map. Be careful because I've left fewer people to avoid detection.ⓦ,,,
38,Fabian,@P.S. If there is a disturbance^ it is permitted to accompany 'THAT'...@◐①,이성판정,,
39,Fabian,@Deep-One? Cthulhu? I don't know what the hell they're talking about...@,,,
40,Fabian,@At the very least^ I'm pretty sure that the guy who wrote this journal is behind everything that's happening in the city right now.@,,,
41,Fabian,@A symbol on the map... so erasing it may solve the problem.@,,,
42,Fabian,@I don't believe it^ but if that doesn't keep this shitty dream going... It might not be a bad idea to try.@,,,
43,Fabian,(It's a strange book covered in green moss.)☆①,마도서 보기,,
44,Fabian,(The moment I open this strangely blasphemous book^ strange words are etched into my cornea.),살펴보기,,
45,Fabian,(A bunch of letters cluttering my brain reminds me of something.)◐②,이성판정,,
46,Fabian,(Intense dizziness and a headache that felt like it was crushing my eyeballs^ but I couldn't close the book.),,,
47,Fabian,(Somewhere around the time I started seeing pictures and letters....)◐③,오컬트 판정,,
48,Fabian,(I could understand what the letters meant.),성공,,
49,Fabian,'This is.... It's a book about the rituals of ⓑ(●4Cthulhu's advent)ⓦ.',,,
50,Fabian,'The method is simple... just smear the blood of the sacrifice on the already carved symbols...',,,
51,Fabian,@Damn^ I read the wrong thing.@,,,
52,Fabian,(I tried to come up with something^ but the words and characters eventually drifted out of my head.),실패,,
53,Fabian,@Damn^ I read the wrong thing.@,,,
54,Fabian,(It's grooved in a strange symbol.),<>문양 대화,,
55,Fabian,(The shape itself looks profane^ but it doesn't feel anything yet.)☆①,,,
56,Fabian,@This must be the symbol I saw in that journal.@,<>살펴보기^ 일지 봤다면,,
57,Fabian,@If I break this^ I can disrupt it...?@,,문양 파괴시 어찌됬든 물은 차오름,
58,Fabian,@I'll just have to scrape it off with a rock I have lying around.@,,,
59,Fabian,(A blasphemous-looking symbol is carved into the wall.),<>살펴보기^ 일지 안봤다면,,
60,Fabian,@hmm.... ?@◐④,오컬트 판정,,
61,Fabian,'It seems to be a symbol used to summon something.'',<>판정 성공,,
62,Fabian,(Nothing in particular came to mind.),<>판정 실패,,
63,Fabian,(I picked up a rock lying around and slammed it down on the symbol.),<>힘 판정 성공,,
64,Fabian,(When the existing form of the symbol becomes unrecognizable.),,,
65,Fabian,(An image began to form in my head.),,,
66,Fabian,@This... this is... what the hell...@◐⑤◈②,이성판정,,
67,Fabian,(I picked up a rock lying around and slammed it down on the symbol.),<>힘 판정 실패,,
68,Fabian,@Ugh!@※⑧,체력 5감소,,
69,Fabian,(The stone then bounced and hit me near the eye.),,,
70,Fabian,(And an image began to form in my brain.),,,
71,Fabian,@This... this is... what the hell...@◐⑤◈②,이성판정,,
72,Fabian,@Whoa...@,<>이성판정 연결,,
73,Fabian,(I barely managed to resist its intense force.)◈②,<<< 엔딩으로!!^,,
74,Fabian,(As if possessed by something^ I made a cut in my hand and brought it to the symbol.),키워드 -> 문양,,
75,Fabian,'What? What am I doing?',,,
76,Fabian,(Then the walls began to fill with a reddish color^ as if they were absorbing my blood.),<<< 엔딩으로!!^ 물 차는거!,,
77,Fabian,(I don't think it has anything to do with this symbol.),키워드 실패,,
78,Fabian,(Once inside the sewers^ I felt an indescribable sense of vertigo.),하수도 내부 진입시.,,
79,Fabian,@Oh...@,,,
80,Fabian,(When I regained my composure and checked my surroundings^ I couldn't see the entrance I'd come through.),,,
81,Fabian,(Huh? I'm sure I've been here before...),,,
82,Fabian,(Goosebumps run down my spine.)◐⑥,(이성판정),,
83,Fabian,'Someone moved me while I was out of my mind...?',,,
84,Fabian,@Damn...  I have no idea where it is^ so...@,,,
85,Fabian,@I guess I'll just have to move forward blindly.@,,,
86,Fabian,(As soon as I reach the next section of the sewer^ a large figure catches my eye.)◈⑪▒⑩,<처음으로 딥원 마주했을떄.>,,
87,Fabian,(Slippery^ barbed^ with a slight grayish-green glow^ it stood on two legs^ clearly human.),,,
88,Fabian,(But its head had large eyes that wouldn't close^ and twitching gills on either side of its neck.)◐⑦,(이성판정),,
89,Fabian,'What the hell is that...!'▒⑩,,,
90,Fabian,'How do I....'⊙④◈⑩,,,
91,Fabian,'I think this ladder is enough to get back outside.',// 엔딩 파트>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>,,
92,Fabian,'What should I do?'◐⑧,// 선택지 출력,,
93,Fabian,'I'll have to be careful because it's slippery',(올라간다 선택시),,
94,Fabian,(After all that climbing^ it was already dark outside when opened the manhole cover.),,,
95,Fabian,'Oh^ did time go by already?',,,
96,Fabian,(With that thought in mind^ I pulled myself out of the manhole and felt like my body was being turned inside out.),,,
97,Fabian,(And then I felt a vibration under the ground.),,,
98,Fabian,@What is this vibrating sound...?@,,,
99,Fabian,(The sound of running water is strongly audible.),,,
100,Fabian,@Wait… I think this is going to overflow...?@,,,
101,Fabian,@Why is the sewage overflowing even it's not raining…!?@,,,
102,Fabian,(While I was thinking about it^ the water started rushing out of the sewers and flooding the city.),,,
103,Fabian,@This is going to flood the whole city...@,,,
104,Fabian,(The turbid water that submerges the city rises to my knees^ to my chest^ and then rises again and again.),,,
105,Fabian,'Get on the roof or I'll be swept away...!'◐⑨, 수영판정^ 성공할때까지 계속^ 실패시 체력 5 감소,,
106,Fabian,@Huh... Huh...@,,,
107,Fabian,(When I somehow succeeded in getting onto the roof. ),,,
108,Fabian,@What the... what's going on...@,,,
109,Fabian,(The water had already risen to the point where it was overflowing and submerging most of the city's roofs.),,,
110,Fabian,(As I gazed helplessly at the submerged city^ the shaking of the ground intensified.),,,
111,Fabian,(Then something began to break the surface of the water near the Miskatonic River^ and soon there was a huge figure in front of me.),,,
112,Fabian,@What the hell...@◈①,<<이성판정>>,,
113,Fabian,(An indescribable feeling runs through my head.),,,
114,Fabian,(After somehow surviving the massive wave^ what I saw was...),,,
115,Fabian,(It was something like a giant mountain covered in countless scales and tentacles.)◈①,<<이성판정>>,,
116,Fabian,@Ugh....@,,,
117,Fabian,(Amidst all the screaming in my head^ I hear a voice^ heavy and damp^ but somehow gentle.)◈①,<<이성판정>>,,
118,,[THE TIME HAS COME^ TIME FOR ALL TO RISE],,,
119,Fabian,(It was clearly not human language^ but in my head I understood what it meant.)◈①,<<이성판정>>,,
120,,[IT IS TIME TO RETURN FROM A LONG SLEEP TO WELCOME EVERYONE BACK]◈①,<<이성판정>>,,
121,,[SOON AFTER^ THE STARS ALIGNED]◈①,<<이성판정>>,,
122,,[AND R'LYEH WILL RISE UP]◈①,<<이성판정>>,,
123,,[THEN AGAIN^ WITH OUR OLD BROTHERS]◈①,<<이성판정>>,,
124,,[WE WILL ENJOY PROSPERITY]◈①,<<이성판정>>,,
125,,[THAT WILL NEVER END],<<이성판정>> -- 엔딩 장면 출력,,
126,Fabian,(Without realizing it^ I drew blood on my palm and brought it to the symbol.),피뽑기 엔딩!,,
127,Fabian,@Uh...uh! What did I do...!@,,,
128,Fabian,(Whatever magic there was to it^ it really was a flash in the pan.),,,
129,Fabian,(Time seemed to stand still for a moment^ and then the ground began to shake^ slowly but steadily.),,,
130,Fabian,@Damn^ I don't know what it is^ but I'm pretty sure something is terribly wrong...!@,,,
131,Fabian,(The rumbling of the ground was accompanied by the sound of rushing water^ and I quickly started looking for an exit.),,,
132,Fabian,(By the time I climbed up the ladder I'd found the hard way^ it was already flooded.),,,
